t_recv,kind,type,name,detail
0.0199,Node,ADDED,kind-control-plane,taints=1
0.0221,Node,ADDED,kind-worker,taints=0
0.0234,Node,ADDED,kind-worker2,taints=0
0.0247,Node,ADDED,kind-worker3,taints=0
0.0251,Event,ADDED,eval-conflicts-rho000-r0-000-nrwfr.18d62b4cc65c688d,reason=Scheduled count=None msg=Successfully assigned compute/eval-conflicts-rho000-r0-000-nrwfr to kind-worker3
0.0269,Node,ADDED,kind-worker4,taints=0
0.0273,Event,ADDED,eval-conflicts-rho000-r0-000-nrwfr.18d62b4ce164d855,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0275,Event,ADDED,eval-conflicts-rho000-r0-000-nrwfr.18d62b4ce29d436b,reason=Created count=1 msg=Created container: task
0.0277,Event,ADDED,eval-conflicts-rho000-r0-000-nrwfr.18d62b4ce460276f,reason=Started count=1 msg=Started container task
0.0279,Event,ADDED,eval-conflicts-rho000-r0-000.18d62b4cc57a5f38,reason=SuccessfulCreate count=1 msg=Created pod: eval-conflicts-rho000-r0-000-nrwfr
0.029,Node,ADDED,kind-worker5,taints=0
0.0294,Event,ADDED,eval-conflicts-rho000-r0-000.18d62b526a4dd6fe,reason=Completed count=1 msg=Job completed
0.0296,Event,ADDED,eval-conflicts-rho000-r0-001-47rxg.18d62b4cff6b9b32,reason=Scheduled count=None msg=Successfully assigned compute/eval-conflicts-rho000-r0-001-47rxg to kind-worker
0.0298,Event,ADDED,eval-conflicts-rho000-r0-001-47rxg.18d62b4d1dc105ce,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0299,Event,ADDED,eval-conflicts-rho000-r0-001-47rxg.18d62b4d1efb35f4,reason=Created count=1 msg=Created container: task
0.0303,Event,ADDED,eval-conflicts-rho000-r0-001-47rxg.18d62b4d26f78199,reason=Started count=1 msg=Started container task
0.0305,Event,ADDED,eval-conflicts-rho000-r0-001.18d62b4cfe674eb8,reason=SuccessfulCreate count=1 msg=Created pod: eval-conflicts-rho000-r0-001-47rxg
0.0307,Event,ADDED,eval-conflicts-rho000-r0-001.18d62b52ac99894e,reason=Completed count=1 msg=Job completed
0.031,Event,ADDED,eval-conflicts-rho000-r0-002-nhvvf.18d62b4d3d31039d,reason=Scheduled count=None msg=Successfully assigned compute/eval-conflicts-rho000-r0-002-nhvvf to kind-worker4
0.0312,Event,ADDED,eval-conflicts-rho000-r0-002-nhvvf.18d62b4d5b1d6729,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0313,Event,ADDED,eval-conflicts-rho000-r0-002-nhvvf.18d62b4d5c549629,reason=Created count=1 msg=Created container: task
0.0315,Event,ADDED,eval-conflicts-rho000-r0-002-nhvvf.18d62b4d6042c718,reason=Started count=1 msg=Started container task
0.0317,Event,ADDED,eval-conflicts-rho000-r0-002.18d62b4d3c34025b,reason=SuccessfulCreate count=1 msg=Created pod: eval-conflicts-rho000-r0-002-nhvvf
0.0319,Event,ADDED,eval-conflicts-rho000-r0-002.18d62b52ed8f3caf,reason=Completed count=1 msg=Job completed
0.0321,Event,ADDED,eval-conflicts-rho000-r0-003-tqwzd.18d62b4d79c2ad74,reason=Scheduled count=None msg=Successfully assigned compute/eval-conflicts-rho000-r0-003-tqwzd to kind-worker3
0.0323,Event,ADDED,eval-conflicts-rho000-r0-003-tqwzd.18d62b4d9642a9fb,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0324,Event,ADDED,eval-conflicts-rho000-r0-003-tqwzd.18d62b4d9774573a,reason=Created count=1 msg=Created container: task
0.0326,Event,ADDED,eval-conflicts-rho000-r0-003-tqwzd.18d62b4d9ea6c10a,reason=Started count=1 msg=Started container task
0.0328,Event,ADDED,eval-conflicts-rho000-r0-003.18d62b4d78883afe,reason=SuccessfulCreate count=1 msg=Created pod: eval-conflicts-rho000-r0-003-tqwzd
0.033,Event,ADDED,eval-conflicts-rho000-r0-003.18d62b5329262563,reason=Completed count=1 msg=Job completed
0.0331,Event,ADDED,eval-conflicts-rho000-r0-004-jn6xf.18d62b4db363ae64,reason=Scheduled count=None msg=Successfully assigned compute/eval-conflicts-rho000-r0-004-jn6xf to kind-worker4
0.0333,Event,ADDED,eval-conflicts-rho000-r0-004-jn6xf.18d62b4dd600a4fb,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0335,Event,ADDED,eval-conflicts-rho000-r0-004-jn6xf.18d62b4dd735902a,reason=Created count=1 msg=Created container: task
0.0337,Event,ADDED,eval-conflicts-rho000-r0-004-jn6xf.18d62b4de043138a,reason=Started count=1 msg=Started container task
0.0339,Event,ADDED,eval-conflicts-rho000-r0-004.18d62b4db2486597,reason=SuccessfulCreate count=1 msg=Created pod: eval-conflicts-rho000-r0-004-jn6xf
0.0341,Event,ADDED,eval-conflicts-rho000-r0-004.18d62b5368c7017e,reason=Completed count=1 msg=Job completed
0.0343,Event,ADDED,eval-conflicts-rho000-r0-005-9kdb7.18d62b4df64601d8,reason=Scheduled count=None msg=Successfully assigned compute/eval-conflicts-rho000-r0-005-9kdb7 to kind-worker2
0.0345,Event,ADDED,eval-conflicts-rho000-r0-005-9kdb7.18d62b4e1158c651,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0347,Event,ADDED,eval-conflicts-rho000-r0-005-9kdb7.18d62b4e12c54bcb,reason=Created count=1 msg=Created container: task
0.0349,Event,ADDED,eval-conflicts-rho000-r0-005-9kdb7.18d62b4e177e034e,reason=Started count=1 msg=Started container task
0.0351,Event,ADDED,eval-conflicts-rho000-r0-005.18d62b4df4d6dc3f,reason=SuccessfulCreate count=1 msg=Created pod: eval-conflicts-rho000-r0-005-9kdb7
0.0352,Event,ADDED,eval-conflicts-rho000-r0-005.18d62b53920c37a4,reason=Completed count=1 msg=Job completed
0.0355,Event,ADDED,eval-conflicts-rho000-r0-006-9wc5l.18d62b4e2d4ec2f8,reason=Scheduled count=None msg=Successfully assigned compute/eval-conflicts-rho000-r0-006-9wc5l to kind-worker4
0.0357,Event,ADDED,eval-conflicts-rho000-r0-006-9wc5l.18d62b4e4a4a09a8,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0361,Event,ADDED,eval-conflicts-rho000-r0-006-9wc5l.18d62b4e4b802583,reason=Created count=1 msg=Created container: task
0.0363,Event,ADDED,eval-conflicts-rho000-r0-006-9wc5l.18d62b4e53a4bb54,reason=Started count=1 msg=Started container task
0.0365,Event,ADDED,eval-conflicts-rho000-r0-006.18d62b4e2bdee17b,reason=SuccessfulCreate count=1 msg=Created pod: eval-conflicts-rho000-r0-006-9wc5l
0.0368,Event,ADDED,eval-conflicts-rho000-r0-006.18d62b53d9431dd4,reason=Completed count=1 msg=Job completed
