t_recv,node,sanitizing,lambda_size,lambda
0.0255,kind-control-plane,False,0,[]
0.0273,kind-worker,False,0,[]
0.0296,kind-worker2,False,0,[]
0.0317,kind-worker3,False,0,[]
0.0331,kind-worker4,False,0,[]
0.0351,kind-worker5,False,0,[]
0.2172,kind-worker5,False,1,"[""x06""]"
0.2353,kind-worker5,False,1,"[""x06""]"
1.1082,kind-worker4,False,1,"[""x08""]"
1.1248,kind-worker4,False,1,"[""x08""]"
2.1452,kind-worker,False,1,"[""x10""]"
2.1537,kind-worker,False,1,"[""x10""]"
3.188,kind-worker2,False,1,"[""x08""]"
3.1977,kind-worker2,False,1,"[""x08""]"
4.1233,kind-worker3,False,1,"[""x07""]"
4.1345,kind-worker3,False,1,"[""x07""]"
5.2635,kind-worker,False,2,"[""x07"", ""x10""]"
5.2813,kind-worker,False,2,"[""x07"", ""x10""]"
8.1899,kind-worker5,False,2,"[""x03"", ""x06""]"
8.2003,kind-worker5,False,2,"[""x03"", ""x06""]"
9.2607,kind-worker2,False,2,"[""x08"", ""x10""]"
9.272,kind-worker2,False,2,"[""x08"", ""x10""]"
10.1327,kind-worker5,False,3,"[""x03"", ""x04"", ""x06""]"
10.161,kind-worker5,False,3,"[""x03"", ""x04"", ""x06""]"
13.1271,kind-worker2,False,3,"[""x02"", ""x08"", ""x10""]"
13.1439,kind-worker2,False,3,"[""x02"", ""x08"", ""x10""]"
14.1906,kind-worker3,False,2,"[""x04"", ""x07""]"
14.2091,kind-worker3,False,2,"[""x04"", ""x07""]"
16.2772,kind-worker4,False,2,"[""x04"", ""x08""]"
16.2917,kind-worker4,False,2,"[""x04"", ""x08""]"
17.1581,kind-worker4,False,3,"[""x03"", ""x04"", ""x08""]"
17.1937,kind-worker4,False,3,"[""x03"", ""x04"", ""x08""]"
20.1788,kind-worker5,False,4,"[""x03"", ""x04"", ""x06"", ""x09""]"
20.1929,kind-worker5,False,4,"[""x03"", ""x04"", ""x06"", ""x09""]"
23.8244,kind-worker,True,2,"[""x07"", ""x10""]"
23.8433,kind-worker,True,2,"[""x07"", ""x10""]"
24.7419,kind-worker3,True,2,"[""x04"", ""x07""]"
24.759,kind-worker3,True,2,"[""x04"", ""x07""]"
26.2233,kind-worker5,True,4,"[""x03"", ""x04"", ""x06"", ""x09""]"
26.2404,kind-worker5,True,4,"[""x03"", ""x04"", ""x06"", ""x09""]"
26.7906,kind-worker4,True,3,"[""x03"", ""x04"", ""x08""]"
26.8077,kind-worker4,True,3,"[""x03"", ""x04"", ""x08""]"
27.0363,kind-worker2,True,3,"[""x02"", ""x08"", ""x10""]"
27.0546,kind-worker2,True,3,"[""x02"", ""x08"", ""x10""]"
34.5471,kind-worker,True,2,"[""x07"", ""x10""]"
60.133,kind-control-plane,False,0,[]
60.1474,kind-worker,True,2,"[""x07"", ""x10""]"
60.1529,kind-worker2,True,3,"[""x02"", ""x08"", ""x10""]"
60.1666,kind-worker3,True,2,"[""x04"", ""x07""]"
60.2164,kind-worker4,True,3,"[""x03"", ""x04"", ""x08""]"
60.2404,kind-worker5,True,4,"[""x03"", ""x04"", ""x06"", ""x09""]"
74.3352,kind-worker,True,0,[]
74.4896,kind-worker,True,0,[]
74.5028,kind-worker,False,0,[]
74.5199,kind-worker,False,1,"[""x05""]"
74.5357,kind-worker,False,1,"[""x05""]"
74.5524,kind-worker,False,1,"[""x05""]"
74.5715,kind-worker,False,2,"[""x05"", ""x07""]"
74.5821,kind-worker,False,2,"[""x05"", ""x07""]"
75.0151,kind-worker3,True,0,[]
75.0408,kind-worker3,False,0,[]
75.0529,kind-worker3,False,0,[]
75.1215,kind-worker3,False,0,[]
75.1395,kind-worker3,False,1,"[""x08""]"
75.1543,kind-worker3,False,1,"[""x08""]"
75.2844,kind-worker3,False,2,"[""x03"", ""x08""]"
75.2989,kind-worker3,False,2,"[""x03"", ""x08""]"
76.2283,kind-worker3,False,3,"[""x03"", ""x04"", ""x08""]"
76.2459,kind-worker3,False,3,"[""x03"", ""x04"", ""x08""]"
76.7745,kind-worker5,True,0,[]
76.8047,kind-worker5,True,0,[]
76.8493,kind-worker5,False,0,[]
76.8877,kind-worker5,False,0,[]
77.0309,kind-worker5,False,1,"[""x03""]"
77.0943,kind-worker5,False,1,"[""x03""]"
77.1278,kind-worker5,False,2,"[""x03"", ""x09""]"
77.1833,kind-worker5,False,2,"[""x03"", ""x09""]"
77.2783,kind-worker4,True,0,[]
77.33,kind-worker5,False,3,"[""x03"", ""x08"", ""x09""]"
77.384,kind-worker2,True,0,[]
77.489,kind-worker4,True,0,[]
77.5103,kind-worker4,False,0,[]
77.5181,kind-worker2,True,0,[]
77.5219,kind-worker5,False,3,"[""x03"", ""x08"", ""x09""]"
77.5708,kind-worker5,False,4,"[""x03"", ""x04"", ""x08"", ""x09""]"
77.5779,kind-worker2,False,0,[]
77.7435,kind-worker5,False,4,"[""x03"", ""x04"", ""x08"", ""x09""]"
77.7469,kind-worker2,False,0,[]
77.7499,kind-worker4,False,0,[]
77.7583,kind-worker4,False,1,"[""x04""]"
77.7706,kind-worker4,False,1,"[""x04""]"
77.8169,kind-worker2,False,1,"[""x08""]"
77.8376,kind-worker2,False,1,"[""x08""]"
78.5324,kind-worker2,False,2,"[""x08"", ""x10""]"
78.5455,kind-worker4,False,2,"[""x03"", ""x04""]"
78.555,kind-worker2,False,2,"[""x08"", ""x10""]"
78.566,kind-worker4,False,2,"[""x03"", ""x04""]"
78.9666,kind-worker2,False,3,"[""x02"", ""x08"", ""x10""]"
78.9876,kind-worker2,False,3,"[""x02"", ""x08"", ""x10""]"
81.0275,kind-worker4,False,3,"[""x03"", ""x04"", ""x09""]"
81.0397,kind-worker4,False,3,"[""x03"", ""x04"", ""x09""]"
84.4294,kind-worker4,False,4,"[""x03"", ""x04"", ""x06"", ""x09""]"
84.4425,kind-worker4,False,4,"[""x03"", ""x04"", ""x06"", ""x09""]"
110.6532,kind-worker3,False,4,"[""x03"", ""x04"", ""x08"", ""x09""]"
110.6642,kind-worker3,False,4,"[""x03"", ""x04"", ""x08"", ""x09""]"
113.9582,kind-control-plane,False,0,[]
120.0559,kind-control-plane,False,0,[]
120.0661,kind-worker,False,2,"[""x05"", ""x07""]"
120.0807,kind-worker2,False,3,"[""x02"", ""x08"", ""x10""]"
120.1008,kind-worker3,False,4,"[""x03"", ""x04"", ""x08"", ""x09""]"
120.1106,kind-worker4,False,4,"[""x03"", ""x04"", ""x06"", ""x09""]"
120.1173,kind-worker5,False,4,"[""x03"", ""x04"", ""x08"", ""x09""]"
124.6587,kind-worker,True,2,"[""x05"", ""x07""]"
124.6721,kind-worker,True,2,"[""x05"", ""x07""]"
125.117,kind-worker3,True,4,"[""x03"", ""x04"", ""x08"", ""x09""]"
125.2394,kind-worker3,True,4,"[""x03"", ""x04"", ""x08"", ""x09""]"
126.8831,kind-worker5,True,4,"[""x03"", ""x04"", ""x08"", ""x09""]"
126.9067,kind-worker5,True,4,"[""x03"", ""x04"", ""x08"", ""x09""]"
127.6914,kind-worker4,True,4,"[""x03"", ""x04"", ""x06"", ""x09""]"
127.6974,kind-worker2,True,3,"[""x02"", ""x08"", ""x10""]"
127.9363,kind-worker4,True,4,"[""x03"", ""x04"", ""x06"", ""x09""]"
128.2804,kind-worker2,True,3,"[""x02"", ""x08"", ""x10""]"
132.8862,kind-worker2,True,3,"[""x02"", ""x08"", ""x10""]"
163.757,kind-worker4,True,4,"[""x03"", ""x04"", ""x06"", ""x09""]"
175.4222,kind-worker,True,0,[]
175.4461,kind-worker,False,0,[]
175.4674,kind-worker,False,0,[]
175.5055,kind-worker,False,1,"[""x01""]"
175.5465,kind-worker,False,1,"[""x01""]"
175.6026,kind-worker,False,1,"[""x01""]"
175.7083,kind-worker3,True,0,[]
175.7391,kind-worker,False,2,"[""x01"", ""x04""]"
175.7679,kind-worker3,False,0,[]
175.8279,kind-worker3,False,0,[]
175.8328,kind-worker,False,2,"[""x01"", ""x04""]"
175.8533,kind-worker3,False,0,[]
175.9572,kind-worker3,False,1,"[""x10""]"
175.9741,kind-worker3,False,1,"[""x10""]"
176.1216,kind-worker3,False,2,"[""x08"", ""x10""]"
176.1397,kind-worker3,False,2,"[""x08"", ""x10""]"
176.3719,kind-worker,False,3,"[""x01"", ""x04"", ""x06""]"
176.4033,kind-worker,False,3,"[""x01"", ""x04"", ""x06""]"
176.445,kind-worker3,False,3,"[""x02"", ""x08"", ""x10""]"
176.467,kind-worker3,False,3,"[""x02"", ""x08"", ""x10""]"
177.2909,kind-worker5,True,0,[]
177.4066,kind-worker5,False,0,[]
177.4267,kind-worker5,False,0,[]
177.4707,kind-worker5,False,0,[]
177.612,kind-worker5,False,1,"[""x01""]"
177.6182,kind-worker5,False,1,"[""x01""]"
177.9685,kind-worker5,False,2,"[""x01"", ""x02""]"
177.9745,kind-worker5,False,2,"[""x01"", ""x02""]"
178.2491,kind-worker5,False,3,"[""x01"", ""x02"", ""x06""]"
178.2694,kind-worker5,False,3,"[""x01"", ""x02"", ""x06""]"
178.8041,kind-worker4,True,0,[]
178.939,kind-worker4,True,0,[]
178.9588,kind-worker4,False,0,[]
179.1569,kind-worker4,False,0,[]
179.1728,kind-worker4,False,1,"[""x09""]"
179.21,kind-worker2,True,0,[]
179.2727,kind-worker4,False,1,"[""x09""]"
