t_recv,node,sanitizing,lambda_size,lambda
0.0235,kind-control-plane,False,0,[]
0.0249,kind-worker,False,0,[]
0.0261,kind-worker2,False,0,[]
0.0274,kind-worker3,False,0,[]
0.0285,kind-worker4,False,0,[]
0.0299,kind-worker5,False,0,[]
0.0998,kind-worker3,False,1,"[""x07""]"
0.1098,kind-worker3,False,1,"[""x07""]"
1.0494,kind-worker3,True,1,"[""x07""]"
1.0616,kind-worker3,True,1,"[""x07""]"
1.0823,kind-worker,False,1,"[""x09""]"
1.1505,kind-worker,False,1,"[""x09""]"
2.053,kind-worker,True,1,"[""x09""]"
2.0648,kind-worker,True,1,"[""x09""]"
2.0819,kind-worker5,False,1,"[""x10""]"
2.1628,kind-worker5,False,1,"[""x10""]"
3.0574,kind-worker5,True,1,"[""x10""]"
3.0783,kind-worker5,True,1,"[""x10""]"
3.0827,kind-worker2,False,1,"[""x08""]"
3.1537,kind-worker2,False,1,"[""x08""]"
3.4814,kind-worker2,True,1,"[""x08""]"
3.5024,kind-worker2,True,1,"[""x08""]"
4.0519,kind-worker4,False,1,"[""x07""]"
4.0624,kind-worker4,False,1,"[""x07""]"
4.4807,kind-worker4,True,1,"[""x07""]"
4.4933,kind-worker4,True,1,"[""x07""]"
5.4426,kind-worker3,True,1,"[""x07""]"
22.1663,kind-worker3,True,0,[]
22.1799,kind-worker3,False,0,[]
22.195,kind-worker3,False,1,"[""x03""]"
22.21,kind-worker3,False,2,"[""x03"", ""x06""]"
22.2434,kind-worker3,False,2,"[""x03"", ""x06""]"
22.2538,kind-worker3,False,2,"[""x03"", ""x06""]"
22.2631,kind-worker3,False,3,"[""x03"", ""x06"", ""x07""]"
22.2733,kind-worker3,False,3,"[""x03"", ""x06"", ""x07""]"
22.4688,kind-worker3,False,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
22.4785,kind-worker3,False,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
23.2519,kind-worker3,True,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
23.2668,kind-worker3,True,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
24.2901,kind-worker,True,0,[]
24.3013,kind-worker,True,0,[]
24.3092,kind-worker,False,0,[]
24.3291,kind-worker,False,1,"[""x08""]"
24.3452,kind-worker,False,1,"[""x08""]"
24.3725,kind-worker,False,2,"[""x02"", ""x08""]"
24.3797,kind-worker,False,2,"[""x02"", ""x08""]"
24.3916,kind-worker,False,2,"[""x02"", ""x08""]"
24.4447,kind-worker,False,3,"[""x01"", ""x02"", ""x08""]"
24.5894,kind-worker,False,3,"[""x01"", ""x02"", ""x08""]"
25.2323,kind-worker5,True,0,[]
25.2797,kind-worker5,False,0,[]
25.2887,kind-worker5,False,0,[]
25.2991,kind-worker5,False,0,[]
25.3474,kind-worker5,False,1,"[""x05""]"
25.3636,kind-worker5,False,2,"[""x05"", ""x10""]"
25.3814,kind-worker,True,3,"[""x01"", ""x02"", ""x08""]"
25.3837,kind-worker5,False,2,"[""x05"", ""x10""]"
25.3971,kind-worker,True,3,"[""x01"", ""x02"", ""x08""]"
25.5423,kind-worker5,False,2,"[""x05"", ""x10""]"
26.1036,kind-worker2,True,0,[]
26.1797,kind-worker2,True,0,[]
26.1909,kind-worker2,False,0,[]
26.2092,kind-worker2,False,0,[]
26.2316,kind-worker2,False,1,"[""x04""]"
26.2454,kind-worker2,False,1,"[""x04""]"
26.2604,kind-worker2,False,2,"[""x04"", ""x09""]"
26.2703,kind-worker2,False,2,"[""x04"", ""x09""]"
26.2999,kind-worker5,True,2,"[""x05"", ""x10""]"
26.3409,kind-worker5,True,2,"[""x05"", ""x10""]"
27.0782,kind-worker4,True,0,[]
27.0903,kind-worker4,True,0,[]
27.0998,kind-worker4,False,0,[]
27.2881,kind-worker4,False,0,[]
27.2955,kind-worker2,True,2,"[""x04"", ""x09""]"
27.3099,kind-worker2,True,2,"[""x04"", ""x09""]"
28.0858,kind-worker4,False,1,"[""x09""]"
28.0962,kind-worker4,False,1,"[""x09""]"
28.2907,kind-worker4,True,1,"[""x09""]"
28.3043,kind-worker4,True,1,"[""x09""]"
28.947,kind-worker4,True,1,"[""x09""]"
45.8522,kind-worker3,True,0,[]
45.8854,kind-worker3,True,0,[]
45.8969,kind-worker3,False,0,[]
45.9286,kind-worker3,False,1,"[""x01""]"
45.9572,kind-worker3,False,1,"[""x01""]"
45.9679,kind-worker3,False,2,"[""x01"", ""x02""]"
46.0096,kind-worker3,False,3,"[""x01"", ""x02"", ""x09""]"
46.141,kind-worker3,False,3,"[""x01"", ""x02"", ""x09""]"
46.1543,kind-worker3,False,3,"[""x01"", ""x02"", ""x09""]"
46.9613,kind-worker3,True,3,"[""x01"", ""x02"", ""x09""]"
46.9799,kind-worker3,True,3,"[""x01"", ""x02"", ""x09""]"
47.8549,kind-worker,True,0,[]
47.8684,kind-worker,False,0,[]
47.8775,kind-worker,False,0,[]
47.8888,kind-worker,False,0,[]
47.9027,kind-worker,False,1,"[""x06""]"
47.9176,kind-worker,False,2,"[""x03"", ""x06""]"
47.9425,kind-worker,False,2,"[""x03"", ""x06""]"
47.9531,kind-worker,False,2,"[""x03"", ""x06""]"
48.0309,kind-worker,False,3,"[""x03"", ""x06"", ""x07""]"
48.0402,kind-worker,False,3,"[""x03"", ""x06"", ""x07""]"
48.9421,kind-worker5,True,0,[]
48.9448,kind-worker,True,3,"[""x03"", ""x06"", ""x07""]"
48.9791,kind-worker5,False,0,[]
49.0003,kind-worker5,False,1,"[""x08""]"
49.1828,kind-worker5,False,1,"[""x08""]"
49.2594,kind-worker5,False,1,"[""x08""]"
49.261,kind-worker,True,3,"[""x03"", ""x06"", ""x07""]"
49.9037,kind-worker2,True,0,[]
49.9197,kind-worker2,False,0,[]
49.9274,kind-worker2,False,0,[]
49.9408,kind-worker2,False,1,"[""x05""]"
49.9768,kind-worker2,False,1,"[""x05""]"
49.9886,kind-worker2,False,1,"[""x05""]"
50.2166,kind-worker5,True,1,"[""x08""]"
50.2308,kind-worker5,True,1,"[""x08""]"
51.2775,kind-worker2,True,1,"[""x05""]"
51.2917,kind-worker2,True,1,"[""x05""]"
52.2126,kind-worker4,True,0,[]
52.3601,kind-worker4,True,0,[]
52.4891,kind-worker4,False,0,[]
52.5089,kind-worker4,False,1,"[""x04""]"
52.6852,kind-worker4,False,2,"[""x01"", ""x04""]"
52.848,kind-worker4,False,2,"[""x01"", ""x04""]"
52.8613,kind-worker4,False,2,"[""x01"", ""x04""]"
53.7876,kind-worker4,True,2,"[""x01"", ""x04""]"
54.0184,kind-worker4,True,2,"[""x01"", ""x04""]"
60.0838,kind-control-plane,False,0,[]
60.0916,kind-worker,True,3,"[""x03"", ""x06"", ""x07""]"
60.1164,kind-worker2,True,1,"[""x05""]"
