t_recv,kind,type,name,detail
0.021,Node,ADDED,kind-control-plane,taints=1
0.0233,Node,ADDED,kind-worker,taints=0
0.0247,Node,ADDED,kind-worker2,taints=0
0.0259,Node,ADDED,kind-worker3,taints=0
0.0273,Node,ADDED,kind-worker4,taints=0
0.0286,Node,ADDED,kind-worker5,taints=0
0.0393,TaskRequest,ADDED,eval-sanitize-60-r1-000,phase=None job=None
0.0437,TaskRequest,MODIFIED,eval-sanitize-60-r1-000,phase=Pending job=None
0.0706,Job,ADDED,eval-sanitize-60-r1-000,
0.0729,Event,ADDED,eval-image-prepull-4d94z.18d4aad5a41c1226,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-4d94z to kind-worker3
0.0736,Event,ADDED,eval-image-prepull-4d94z.18d4aad5beff0d16,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.074,Event,ADDED,eval-image-prepull-4d94z.18d4aad5c125d737,reason=Created count=1 msg=Created container: pause
0.0745,Event,ADDED,eval-image-prepull-4d94z.18d4aad5c54db8b1,reason=Started count=1 msg=Started container pause
0.0749,Event,ADDED,eval-image-prepull-4d94z.18d4aad60eb67aca,reason=Killing count=1 msg=Stopping container pause
0.0752,Event,ADDED,eval-image-prepull-4xbhg.18d4aad5a4bdc823,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-4xbhg to kind-worker5
0.0754,Event,ADDED,eval-image-prepull-4xbhg.18d4aad5bee45e3b,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0758,Event,ADDED,eval-image-prepull-4xbhg.18d4aad5c12290d5,reason=Created count=1 msg=Created container: pause
0.0763,Event,ADDED,eval-image-prepull-4xbhg.18d4aad5c54e383e,reason=Started count=1 msg=Started container pause
0.0765,TaskRequest,MODIFIED,eval-sanitize-60-r1-000,phase=Scheduled job=None
0.0769,Event,ADDED,eval-image-prepull-4xbhg.18d4aad61103bca7,reason=Killing count=1 msg=Stopping container pause
0.0772,Event,ADDED,eval-image-prepull-lbfp9.18d4aad5a44ff6a8,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-lbfp9 to kind-worker2
0.0774,Event,ADDED,eval-image-prepull-lbfp9.18d4aad5beede381,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0778,Event,ADDED,eval-image-prepull-lbfp9.18d4aad5c105eb93,reason=Created count=1 msg=Created container: pause
0.0782,Event,ADDED,eval-image-prepull-lbfp9.18d4aad5c54e6390,reason=Started count=1 msg=Started container pause
0.0787,Event,ADDED,eval-image-prepull-lbfp9.18d4aad67823e46b,reason=Killing count=1 msg=Stopping container pause
0.0791,Event,ADDED,eval-image-prepull-q87zw.18d4aad5a3afd350,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-q87zw to kind-worker
0.0801,Event,ADDED,eval-image-prepull-q87zw.18d4aad5be3855fc,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0806,Event,ADDED,eval-image-prepull-q87zw.18d4aad5c04c6404,reason=Created count=1 msg=Created container: pause
0.0808,Event,ADDED,eval-image-prepull-q87zw.18d4aad5c56c31da,reason=Started count=1 msg=Started container pause
0.0813,Event,ADDED,eval-image-prepull-q87zw.18d4aad632bdda79,reason=Killing count=1 msg=Stopping container pause
0.0817,Event,ADDED,eval-image-prepull.18d4aad5a3546f50,reason=SuccessfulCreate count=1 msg=Created pod: eval-image-prepull-q87zw
0.0821,Event,ADDED,eval-image-prepull.18d4aad5a3d3398e,reason=SuccessfulCreate count=1 msg=Created pod: eval-image-prepull-lbfp9
0.0825,Event,ADDED,eval-image-prepull.18d4aad5a3d429e3,reason=SuccessfulCreate count=1 msg=Created pod: eval-image-prepull-4d94z
0.0829,Event,ADDED,eval-image-prepull.18d4aad5a4533d06,reason=SuccessfulCreate count=1 msg=Created pod: eval-image-prepull-4xbhg
0.0831,Event,ADDED,eval-sanitize-30-r0-000-h928p.18d4aaef0ed8ee03,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-30-r0-000-h928p to kind-worker3
0.0833,Event,ADDED,eval-sanitize-30-r0-000-h928p.18d4aaef3790a525,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0835,Event,ADDED,eval-sanitize-30-r0-000-h928p.18d4aaef38e681aa,reason=Created count=1 msg=Created container: task
0.0849,Pod,ADDED,eval-sanitize-60-r1-000-mz5lk,phase=Pending node=None
0.0852,Event,ADDED,eval-sanitize-30-r0-000-h928p.18d4aaef41492e18,reason=Started count=1 msg=Started container task
0.0854,Event,ADDED,eval-sanitize-30-r0-000-km4k5.18d4aaddd15de903,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-30-r0-000-km4k5 to kind-worker5
0.0856,Event,ADDED,eval-sanitize-30-r0-000-km4k5.18d4aaddebb226bc,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0861,Event,ADDED,eval-sanitize-30-r0-000-km4k5.18d4aadded3e3916,reason=Created count=1 msg=Created container: task
0.0863,Event,ADDED,eval-sanitize-30-r0-000-km4k5.18d4aaddf31b6398,reason=Started count=1 msg=Started container task
0.0865,Event,ADDED,eval-sanitize-30-r0-000.18d4aaddce5cabc2,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-30-r0-000-km4k5
0.0867,Event,ADDED,eval-sanitize-30-r0-000.18d4aae36159ea54,reason=Completed count=1 msg=Job completed
0.0875,Job,MODIFIED,eval-sanitize-60-r1-000,
0.0878,Event,ADDED,eval-sanitize-30-r0-000.18d4aaef0d50728d,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-30-r0-000-h928p
0.088,Event,ADDED,eval-sanitize-30-r0-000.18d4aaf4a3570eff,reason=Completed count=1 msg=Job completed
0.0882,Event,ADDED,eval-sanitize-30-r0-001-kzbc8.18d4aade09902df2,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-30-r0-001-kzbc8 to kind-worker3
0.0884,Event,ADDED,eval-sanitize-30-r0-001-kzbc8.18d4aade24e2846b,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0887,Event,ADDED,eval-sanitize-30-r0-001-kzbc8.18d4aade264c360d,reason=Created count=1 msg=Created container: task
0.0889,Event,ADDED,eval-sanitize-30-r0-001-kzbc8.18d4aade2ae3f62f,reason=Started count=1 msg=Started container task
0.0892,Event,ADDED,eval-sanitize-30-r0-001-qmnkk.18d4aaef4488fb3a,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-30-r0-001-qmnkk to kind-worker5
0.0894,Event,ADDED,eval-sanitize-30-r0-001-qmnkk.18d4aaef62a2dfcd,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0896,Event,ADDED,eval-sanitize-30-r0-001-qmnkk.18d4aaef63f92db1,reason=Created count=1 msg=Created container: task
0.0898,Event,ADDED,eval-sanitize-30-r0-001-qmnkk.18d4aaef69508d8f,reason=Started count=1 msg=Started container task
0.0899,Event,ADDED,eval-sanitize-30-r0-001.18d4aade0833ce9b,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-30-r0-001-kzbc8
0.0903,Event,ADDED,eval-sanitize-30-r0-001.18d4aae3966662e2,reason=Completed count=1 msg=Job completed
0.0904,Event,ADDED,eval-sanitize-30-r0-001.18d4aaef4321005a,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-30-r0-001-qmnkk
0.0906,Event,ADDED,eval-sanitize-30-r0-001.18d4aaf4e63ae39c,reason=Completed count=1 msg=Job completed
0.0908,Event,ADDED,eval-sanitize-30-r0-002-xpmcf.18d4aaef7fc9f279,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-30-r0-002-xpmcf to kind-worker
0.0911,Event,ADDED,eval-sanitize-30-r0-002-xpmcf.18d4aaef9c2f48be,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0913,Event,ADDED,eval-sanitize-30-r0-002-xpmcf.18d4aaef9d676f28,reason=Created count=1 msg=Created container: task
0.0915,Event,ADDED,eval-sanitize-30-r0-002-xpmcf.18d4aaefa583280a,reason=Started count=1 msg=Started container task
0.0921,Event,ADDED,eval-sanitize-30-r0-002-xqrbz.18d4aade475c6abb,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-30-r0-002-xqrbz to kind-worker
0.0924,Event,ADDED,eval-sanitize-30-r0-002-xqrbz.18d4aade62131642,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0928,Event,ADDED,eval-sanitize-30-r0-002-xqrbz.18d4aade6377558a,reason=Created count=1 msg=Created container: task
0.0929,Event,ADDED,eval-sanitize-30-r0-002-xqrbz.18d4aade66706ce9,reason=Started count=1 msg=Started container task
0.0935,Event,ADDED,eval-sanitize-30-r0-002.18d4aade460246ee,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-30-r0-002-xqrbz
0.0937,Event,ADDED,eval-sanitize-30-r0-002.18d4aae3fd54862e,reason=Completed count=1 msg=Job completed
0.0939,Event,ADDED,eval-sanitize-30-r0-002.18d4aaef7e6b995b,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-30-r0-002-xpmcf
0.0941,Event,ADDED,eval-sanitize-30-r0-002.18d4aaf5091bc1c4,reason=Completed count=1 msg=Job completed
0.0944,Event,ADDED,eval-sanitize-30-r0-003-9fwr2.18d4aade81cf6d86,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-30-r0-003-9fwr2 to kind-worker
0.0946,Event,ADDED,eval-sanitize-30-r0-003-9fwr2.18d4aade9d40a261,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
