task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-conflicts-rho000-r4-000,issuer2,x02,0,"[""d02""]",4,0.0,0.0033,0.0418,0.0033,0.0385,201,True,0.0473,0.0682,24.2092,nan,eval-conflicts-rho000-r4-000,0.0618,0.0199,eval-conflicts-rho000-r4-000-gdzk9,0.0735,0.0117,0.0867,0.0133,kind-worker,0.0834,0,0,0,0,0,0,none,False,nan,nan,,1.051,22.1826,nan,0.9643,21.1316,22.1793,Succeeded,Complete,False
1,eval-conflicts-rho000-r4-001,issuer7,x07,0,"[""d07""]",4,1.0,1.0004,1.0452,0.0004,0.0448,201,True,1.052,1.0709,24.2126,nan,eval-conflicts-rho000-r4-001,1.0661,0.0209,eval-conflicts-rho000-r4-001-67nhx,1.0739,0.0079,1.0923,0.0183,kind-worker3,0.0919,0,0,0,0,0,0,none,False,nan,nan,,2.1153,23.2494,nan,1.023,21.1341,22.249,Succeeded,Complete,False
2,eval-conflicts-rho000-r4-002,issuer1,x01,0,"[""d01""]",4,2.0,2.0004,2.0384,0.0004,0.0379,201,True,2.0422,2.0617,26.0041,nan,eval-conflicts-rho000-r4-002,2.0574,0.019,eval-conflicts-rho000-r4-002-wqhhg,2.065,0.0076,2.0812,0.0162,kind-worker4,0.0808,0,0,0,0,0,0,none,False,nan,nan,,2.9358,24.0495,nan,0.8546,21.1137,22.049,Succeeded,Complete,False
3,eval-conflicts-rho000-r4-003,issuer10,x10,0,"[""d10""]",4,3.0,3.0003,3.0179,0.0003,0.0176,201,True,3.1772,3.1985,27.0433,nan,eval-conflicts-rho000-r4-003,3.1942,0.1763,eval-conflicts-rho000-r4-003-2rcss,3.2018,0.0076,3.2204,0.0186,kind-worker4,0.2201,0,0,0,0,0,0,none,False,nan,nan,,4.0153,25.1047,nan,0.7949,21.0894,22.1044,Succeeded,Complete,False
4,eval-conflicts-rho000-r4-004,issuer10,x10,0,"[""d10""]",4,4.0,4.0002,4.009,0.0002,0.0088,201,True,4.0154,4.0374,28.2588,nan,eval-conflicts-rho000-r4-004,4.0305,0.0215,eval-conflicts-rho000-r4-004-4sml6,4.037,0.0065,4.199,0.162,kind-worker3,0.1988,0,0,0,0,0,0,none,False,nan,nan,,5.123,26.305,nan,0.924,21.1819,22.3048,Succeeded,Complete,False
5,eval-conflicts-rho000-r4-005,issuer4,x04,0,"[""d04""]",4,5.0,5.0002,5.0655,0.0002,0.0653,201,True,5.0694,5.0891,29.2603,nan,eval-conflicts-rho000-r4-005,5.0852,0.0197,eval-conflicts-rho000-r4-005-xnnqr,5.0923,0.0071,5.1136,0.0213,kind-worker3,0.1134,0,0,0,0,0,0,none,False,nan,nan,,6.1429,27.2544,nan,1.0292,21.1115,22.2542,Succeeded,Complete,False
6,eval-conflicts-rho000-r4-006,issuer9,x09,0,"[""d09""]",4,6.0,6.0003,6.0144,0.0003,0.0141,201,True,6.1358,6.1596,29.0445,nan,eval-conflicts-rho000-r4-006,6.1513,0.1369,eval-conflicts-rho000-r4-006-kpqbw,6.1587,0.0074,6.1789,0.0203,kind-worker2,0.1786,0,0,0,0,0,0,none,False,nan,nan,,6.907,28.1456,nan,0.728,21.2386,22.1452,Succeeded,Complete,False
7,eval-conflicts-rho000-r4-007,issuer3,x03,0,"[""d03""]",4,7.0,7.0004,7.0125,0.0004,0.0121,201,True,7.0162,7.0371,31.2635,nan,eval-conflicts-rho000-r4-007,7.0324,0.02,eval-conflicts-rho000-r4-007-2d9r8,7.0409,0.0084,7.0649,0.0241,kind-worker5,0.0645,0,0,0,0,0,0,none,False,nan,nan,,7.9262,29.0703,nan,0.8613,21.1441,22.0699,Succeeded,Complete,False
8,eval-conflicts-rho000-r4-008,issuer10,x10,0,"[""d10""]",4,8.0,8.0005,8.0094,0.0005,0.0089,201,True,8.0133,8.0372,31.2554,nan,eval-conflicts-rho000-r4-008,8.0304,0.0211,eval-conflicts-rho000-r4-008-lvl82,8.0372,0.0067,8.1495,0.1123,kind-worker4,0.149,0,0,0,0,0,0,none,False,nan,nan,,8.9273,30.159,nan,0.7778,21.2317,22.1585,Succeeded,Complete,False
9,eval-conflicts-rho000-r4-009,issuer9,x09,0,"[""d09""]",4,9.0,9.0002,9.0214,0.0002,0.0212,201,True,9.0251,9.0481,33.1473,nan,eval-conflicts-rho000-r4-009,9.0411,0.0197,eval-conflicts-rho000-r4-009-jcgfd,9.0465,0.0054,9.0753,0.0287,kind-worker,0.0751,0,0,0,0,0,0,none,False,nan,nan,,10.0159,31.263,nan,0.9406,21.2471,22.2628,Succeeded,Complete,False
10,eval-conflicts-rho000-r4-010,issuer1,x01,0,"[""d01""]",4,10.0,10.0002,10.0089,0.0002,0.0087,201,True,10.016,10.0359,34.1202,nan,eval-conflicts-rho000-r4-010,10.0302,0.0213,eval-conflicts-rho000-r4-010-8wbpt,10.0377,0.0075,10.2261,0.1883,kind-worker,0.2258,0,0,0,0,0,0,none,False,nan,nan,,11.0177,32.3404,nan,0.7916,21.3227,22.3402,Succeeded,Complete,False
11,eval-conflicts-rho000-r4-011,issuer1,x01,0,"[""d01""]",4,11.0,11.0003,11.0099,0.0003,0.0096,201,True,11.0135,11.0388,35.6142,nan,eval-conflicts-rho000-r4-011,11.0306,0.0207,eval-conflicts-rho000-r4-011-f2qwf,11.0373,0.0067,11.067,0.0296,kind-worker3,0.0667,0,0,0,0,0,0,none,False,nan,nan,,12.1398,33.4231,nan,1.0728,21.2833,22.4229,Succeeded,Complete,False
12,eval-conflicts-rho000-r4-012,issuer2,x02,0,"[""d02""]",4,12.0,12.0005,12.0106,0.0005,0.0101,201,True,12.0148,12.035,36.3846,nan,eval-conflicts-rho000-r4-012,12.0308,0.0202,eval-conflicts-rho000-r4-012-258jg,12.0387,0.008,12.1445,0.1058,kind-worker3,0.144,0,0,0,0,0,0,none,False,nan,nan,,13.1652,34.4696,nan,1.0207,21.3044,22.4691,Succeeded,Complete,False
13,eval-conflicts-rho000-r4-013,issuer6,x06,0,"[""d06""]",4,13.0,13.0001,13.0212,0.0001,0.0211,201,True,13.0354,13.0596,37.2328,nan,eval-conflicts-rho000-r4-013,13.0522,0.031,eval-conflicts-rho000-r4-013-mmpsk,13.0572,0.005,13.1671,0.1099,kind-worker4,0.1669,0,0,0,0,0,0,none,False,nan,nan,,13.9846,35.2488,nan,0.8175,21.2642,22.2487,Succeeded,Complete,False
