t_recv,kind,type,name,detail
0.0328,Node,ADDED,kind-control-plane,taints=1
0.0376,Node,ADDED,kind-worker,taints=0
0.0389,Node,ADDED,kind-worker2,taints=0
0.0401,Node,ADDED,kind-worker3,taints=0
0.0413,Node,ADDED,kind-worker4,taints=0
0.0429,Node,ADDED,kind-worker5,taints=0
0.0514,TaskRequest,ADDED,eval-sanitize-30-r0-000,phase=None job=None
0.0585,TaskRequest,MODIFIED,eval-sanitize-30-r0-000,phase=Pending job=None
0.0749,Job,ADDED,eval-sanitize-30-r0-000,
0.0829,TaskRequest,MODIFIED,eval-sanitize-30-r0-000,phase=Scheduled job=None
0.0863,Pod,ADDED,eval-sanitize-30-r0-000-g64qc,phase=Pending node=None
0.09,Job,MODIFIED,eval-sanitize-30-r0-000,
0.0914,Event,ADDED,eval-sanitize-30-r0-000.18d3f4569af85de7,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-30-r0-000-g64qc
0.0946,TaskRequest,MODIFIED,eval-sanitize-30-r0-000,phase=Scheduled job=None
0.1041,Pod,MODIFIED,eval-sanitize-30-r0-000-g64qc,phase=Pending node=kind-worker5
0.1102,Event,ADDED,eval-sanitize-30-r0-000-g64qc.18d3f4569c02badb,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-30-r0-000-g64qc to kind-worker5
0.1161,Pod,MODIFIED,eval-sanitize-30-r0-000-g64qc,phase=Pending node=kind-worker5
0.1183,Node,MODIFIED,kind-worker5,taints=0
0.1327,Node,MODIFIED,kind-worker5,taints=0
0.5362,Event,ADDED,eval-sanitize-30-r0-000-g64qc.18d3f456b57bc263,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.5545,Event,ADDED,eval-sanitize-30-r0-000-g64qc.18d3f456b6a449d0,reason=Created count=1 msg=Created container: task
0.6225,Event,ADDED,eval-sanitize-30-r0-000-g64qc.18d3f456bab64e01,reason=Started count=1 msg=Started container task
0.7826,Pod,MODIFIED,eval-sanitize-30-r0-000-g64qc,phase=Running node=kind-worker5
1.0141,TaskRequest,ADDED,eval-sanitize-30-r0-001,phase=None job=None
1.0208,TaskRequest,MODIFIED,eval-sanitize-30-r0-001,phase=Pending job=None
1.0353,Job,ADDED,eval-sanitize-30-r0-001,
1.0421,Pod,ADDED,eval-sanitize-30-r0-001-mpfb2,phase=Pending node=None
1.0438,TaskRequest,MODIFIED,eval-sanitize-30-r0-001,phase=Scheduled job=None
1.0446,Job,MODIFIED,eval-sanitize-30-r0-001,
1.048,Event,ADDED,eval-sanitize-30-r0-001.18d3f456d3f9b4c5,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-30-r0-001-mpfb2
1.0511,TaskRequest,MODIFIED,eval-sanitize-30-r0-001,phase=Scheduled job=None
1.0614,Pod,MODIFIED,eval-sanitize-30-r0-001-mpfb2,phase=Pending node=kind-worker
1.065,Event,ADDED,eval-sanitize-30-r0-001-mpfb2.18d3f456d51f82e4,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-30-r0-001-mpfb2 to kind-worker
1.0712,Pod,MODIFIED,eval-sanitize-30-r0-001-mpfb2,phase=Pending node=kind-worker
1.0736,Node,MODIFIED,kind-worker,taints=0
1.084,Node,MODIFIED,kind-worker,taints=0
1.0901,Job,MODIFIED,eval-sanitize-30-r0-000,
1.0984,Job,MODIFIED,eval-sanitize-30-r0-000,
1.4982,Event,ADDED,eval-sanitize-30-r0-001-mpfb2.18d3f456eed73916,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
1.5247,Event,ADDED,eval-sanitize-30-r0-001-mpfb2.18d3f456f034e660,reason=Created count=1 msg=Created container: task
1.5583,Event,ADDED,eval-sanitize-30-r0-001-mpfb2.18d3f456f2771442,reason=Started count=1 msg=Started container task
1.7833,Pod,MODIFIED,eval-sanitize-30-r0-001-mpfb2,phase=Running node=kind-worker
2.0124,TaskRequest,ADDED,eval-sanitize-30-r0-002,phase=None job=None
2.0176,TaskRequest,MODIFIED,eval-sanitize-30-r0-002,phase=Pending job=None
2.0322,Job,ADDED,eval-sanitize-30-r0-002,
2.0374,TaskRequest,MODIFIED,eval-sanitize-30-r0-002,phase=Scheduled job=None
2.0392,Pod,ADDED,eval-sanitize-30-r0-002-qpfsh,phase=Pending node=None
2.0425,Job,MODIFIED,eval-sanitize-30-r0-002,
2.0467,Event,ADDED,eval-sanitize-30-r0-002.18d3f4570f6a11f8,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-30-r0-002-qpfsh
2.0489,TaskRequest,MODIFIED,eval-sanitize-30-r0-002,phase=Scheduled job=None
2.0496,Job,MODIFIED,eval-sanitize-30-r0-001,
2.0564,Pod,MODIFIED,eval-sanitize-30-r0-002-qpfsh,phase=Pending node=kind-worker3
2.0601,Job,MODIFIED,eval-sanitize-30-r0-001,
2.0604,Event,ADDED,eval-sanitize-30-r0-002-qpfsh.18d3f457106c1b53,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-30-r0-002-qpfsh to kind-worker3
2.068,Pod,MODIFIED,eval-sanitize-30-r0-002-qpfsh,phase=Pending node=kind-worker3
2.0708,Node,MODIFIED,kind-worker3,taints=0
2.0816,Node,MODIFIED,kind-worker3,taints=0
2.4851,Event,ADDED,eval-sanitize-30-r0-002-qpfsh.18d3f457299a0e50,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
2.5032,Event,ADDED,eval-sanitize-30-r0-002-qpfsh.18d3f4572ac1f535,reason=Created count=1 msg=Created container: task
2.571,Event,ADDED,eval-sanitize-30-r0-002-qpfsh.18d3f4572ed0fd62,reason=Started count=1 msg=Started container task
2.7817,Pod,MODIFIED,eval-sanitize-30-r0-002-qpfsh,phase=Running node=kind-worker3
2.8024,Node,MODIFIED,kind-worker,taints=1
2.8898,Node,MODIFIED,kind-worker3,taints=1
2.8913,Node,MODIFIED,kind-worker,taints=1
2.9858,Node,MODIFIED,kind-worker3,taints=1
3.0141,TaskRequest,ADDED,eval-sanitize-30-r0-003,phase=None job=None
3.0179,TaskRequest,MODIFIED,eval-sanitize-30-r0-003,phase=Pending job=None
3.0327,Job,ADDED,eval-sanitize-30-r0-003,
3.0393,Pod,ADDED,eval-sanitize-30-r0-003-zdqj5,phase=Pending node=None
3.04,TaskRequest,MODIFIED,eval-sanitize-30-r0-003,phase=Scheduled job=None
3.0443,Job,MODIFIED,eval-sanitize-30-r0-003,
3.0453,Event,ADDED,eval-sanitize-30-r0-003.18d3f4574af2ad18,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-30-r0-003-zdqj5
3.0462,Job,MODIFIED,eval-sanitize-30-r0-002,
3.048,TaskRequest,MODIFIED,eval-sanitize-30-r0-003,phase=Scheduled job=None
3.0513,Pod,MODIFIED,eval-sanitize-30-r0-003-zdqj5,phase=Pending node=kind-worker2
3.0526,Job,MODIFIED,eval-sanitize-30-r0-003,
3.0548,Event,ADDED,eval-sanitize-30-r0-003-zdqj5.18d3f4574baa5065,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-30-r0-003-zdqj5 to kind-worker2
3.0584,Job,MODIFIED,eval-sanitize-30-r0-002,
3.0606,Pod,MODIFIED,eval-sanitize-30-r0-003-zdqj5,phase=Pending node=kind-worker2
3.0628,Node,MODIFIED,kind-worker2,taints=0
3.0642,Job,MODIFIED,eval-sanitize-30-r0-003,
3.083,Node,MODIFIED,kind-worker5,taints=1
3.0846,Node,MODIFIED,kind-worker2,taints=0
3.0981,Node,MODIFIED,kind-worker5,taints=1
3.4928,Event,ADDED,eval-sanitize-30-r0-003-zdqj5.18d3f45765bfaa67,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
