t_recv,node,sanitizing,lambda_size,lambda
0.0189,kind-control-plane,False,0,[]
0.0223,kind-worker,False,0,[]
0.0235,kind-worker2,False,0,[]
0.0247,kind-worker3,False,0,[]
0.0258,kind-worker4,False,0,[]
0.0269,kind-worker5,False,0,[]
0.0961,kind-worker2,False,1,"[""x01""]"
0.1092,kind-worker2,False,1,"[""x01""]"
1.0663,kind-worker,False,1,"[""x05""]"
1.0781,kind-worker,False,1,"[""x05""]"
1.5813,kind-worker2,True,1,"[""x01""]"
1.5964,kind-worker2,True,1,"[""x01""]"
1.8802,kind-worker,True,1,"[""x05""]"
1.8918,kind-worker,True,1,"[""x05""]"
2.0596,kind-worker4,False,1,"[""x03""]"
2.0684,kind-worker4,False,1,"[""x03""]"
2.2446,kind-worker4,True,1,"[""x03""]"
2.2571,kind-worker4,True,1,"[""x03""]"
3.0639,kind-worker5,False,1,"[""x08""]"
3.0744,kind-worker5,False,1,"[""x08""]"
4.0669,kind-worker3,False,1,"[""x06""]"
4.076,kind-worker3,False,1,"[""x06""]"
4.4099,kind-worker3,True,1,"[""x06""]"
4.4222,kind-worker3,True,1,"[""x06""]"
4.5829,kind-worker5,True,1,"[""x08""]"
4.5949,kind-worker5,True,1,"[""x08""]"
14.0826,kind-worker2,True,0,[]
14.1104,kind-worker2,False,0,[]
14.1195,kind-worker2,False,0,[]
14.1686,kind-worker2,False,1,"[""x08""]"
14.1852,kind-worker2,False,2,"[""x08"", ""x10""]"
14.2193,kind-worker,True,0,[]
14.2227,kind-worker2,False,2,"[""x08"", ""x10""]"
14.2684,kind-worker2,False,3,"[""x02"", ""x08"", ""x10""]"
14.284,kind-worker2,False,4,"[""x01"", ""x02"", ""x08"", ""x10""]"
14.313,kind-worker,False,0,[]
14.3165,kind-worker2,False,4,"[""x01"", ""x02"", ""x08"", ""x10""]"
14.3212,kind-worker,False,0,[]
14.3273,kind-worker2,False,4,"[""x01"", ""x02"", ""x08"", ""x10""]"
14.3309,kind-worker,False,0,[]
14.3841,kind-worker,False,1,"[""x09""]"
14.3986,kind-worker,False,2,"[""x06"", ""x09""]"
14.4088,kind-worker,False,2,"[""x06"", ""x09""]"
14.4185,kind-worker,False,2,"[""x06"", ""x09""]"
14.4829,kind-worker,False,3,"[""x06"", ""x07"", ""x09""]"
14.4942,kind-worker,False,3,"[""x06"", ""x07"", ""x09""]"
14.5131,kind-worker4,True,0,[]
14.5882,kind-worker4,False,0,[]
14.6014,kind-worker4,False,0,[]
14.6124,kind-worker4,False,0,[]
15.0676,kind-worker4,False,1,"[""x10""]"
15.0779,kind-worker4,False,1,"[""x10""]"
16.2276,kind-worker2,True,4,"[""x01"", ""x02"", ""x08"", ""x10""]"
16.2448,kind-worker2,True,4,"[""x01"", ""x02"", ""x08"", ""x10""]"
16.4079,kind-worker,True,3,"[""x06"", ""x07"", ""x09""]"
