t_recv,node,sanitizing,lambda_size,lambda
0.0292,kind-control-plane,False,0,[]
0.0307,kind-worker,False,0,[]
0.0329,kind-worker2,False,0,[]
0.0342,kind-worker3,False,0,[]
0.0357,kind-worker4,False,0,[]
0.0379,kind-worker5,False,0,[]
0.2575,kind-worker5,False,1,"[""x08""]"
0.2695,kind-worker5,False,1,"[""x08""]"
1.1344,kind-worker3,False,1,"[""x02""]"
1.1418,kind-worker3,False,1,"[""x02""]"
2.1751,kind-worker,False,1,"[""x01""]"
2.184,kind-worker,False,1,"[""x01""]"
3.2478,kind-worker,False,2,"[""x01"", ""x02""]"
3.2558,kind-worker,False,2,"[""x01"", ""x02""]"
4.2074,kind-worker2,False,1,"[""x10""]"
4.2204,kind-worker2,False,1,"[""x10""]"
5.4115,kind-worker3,False,2,"[""x01"", ""x02""]"
5.4193,kind-worker3,False,2,"[""x01"", ""x02""]"
6.1801,kind-worker5,False,2,"[""x02"", ""x08""]"
6.1942,kind-worker5,False,2,"[""x02"", ""x08""]"
8.1709,kind-worker2,False,2,"[""x06"", ""x10""]"
8.1859,kind-worker2,False,2,"[""x06"", ""x10""]"
9.17,kind-worker4,False,1,"[""x04""]"
9.1818,kind-worker4,False,1,"[""x04""]"
11.3297,kind-worker5,False,3,"[""x01"", ""x02"", ""x08""]"
11.3419,kind-worker5,False,3,"[""x01"", ""x02"", ""x08""]"
12.1746,kind-worker3,True,2,"[""x01"", ""x02""]"
12.1777,kind-worker5,True,3,"[""x01"", ""x02"", ""x08""]"
12.2849,kind-worker3,True,2,"[""x01"", ""x02""]"
12.6046,kind-worker5,True,3,"[""x01"", ""x02"", ""x08""]"
12.6329,kind-worker4,True,1,"[""x04""]"
12.6488,kind-worker4,True,1,"[""x04""]"
13.3788,kind-worker,True,2,"[""x01"", ""x02""]"
13.3843,kind-worker2,True,2,"[""x06"", ""x10""]"
13.5286,kind-worker,True,2,"[""x01"", ""x02""]"
13.5318,kind-worker2,True,2,"[""x06"", ""x10""]"
33.1441,kind-worker4,True,0,[]
33.2378,kind-worker4,False,0,[]
33.2574,kind-worker4,False,0,[]
33.2692,kind-worker4,False,0,[]
33.3141,kind-worker4,False,1,"[""x10""]"
33.3292,kind-worker4,False,1,"[""x10""]"
33.5014,kind-worker4,False,2,"[""x04"", ""x10""]"
33.5144,kind-worker4,False,2,"[""x04"", ""x10""]"
52.7381,kind-worker3,True,0,[]
52.8327,kind-worker3,False,0,[]
52.8497,kind-worker3,False,0,[]
52.8646,kind-worker3,False,1,"[""x09""]"
52.9661,kind-worker3,False,2,"[""x02"", ""x09""]"
53.0296,kind-worker5,True,0,[]
53.0312,kind-worker3,False,2,"[""x02"", ""x09""]"
53.0533,kind-worker5,False,0,[]
53.0551,kind-worker3,False,2,"[""x02"", ""x09""]"
53.1315,kind-worker5,False,0,[]
53.1448,kind-worker5,False,0,[]
53.1733,kind-worker5,False,1,"[""x09""]"
53.1861,kind-worker5,False,1,"[""x09""]"
53.2842,kind-worker4,True,2,"[""x04"", ""x10""]"
53.3067,kind-worker5,False,2,"[""x02"", ""x09""]"
53.3095,kind-worker4,True,2,"[""x04"", ""x10""]"
53.5846,kind-worker5,False,2,"[""x02"", ""x09""]"
53.8726,kind-worker5,False,3,"[""x01"", ""x02"", ""x09""]"
53.8883,kind-worker5,False,3,"[""x01"", ""x02"", ""x09""]"
54.6041,kind-worker,True,0,[]
54.6958,kind-worker,True,0,[]
54.7732,kind-worker2,True,0,[]
54.7758,kind-worker,False,0,[]
54.8844,kind-worker,False,1,"[""x06""]"
54.8887,kind-worker2,True,0,[]
54.8985,kind-worker2,False,0,[]
54.9029,kind-worker,False,1,"[""x06""]"
54.9834,kind-worker2,False,0,[]
54.9875,kind-worker,False,1,"[""x06""]"
55.0794,kind-worker,False,2,"[""x06"", ""x08""]"
55.0941,kind-worker,False,2,"[""x06"", ""x08""]"
55.172,kind-worker2,False,1,"[""x08""]"
55.2,kind-worker2,False,1,"[""x08""]"
55.6224,kind-worker,False,3,"[""x01"", ""x06"", ""x08""]"
55.6311,kind-worker,False,3,"[""x01"", ""x06"", ""x08""]"
55.989,kind-worker2,False,2,"[""x07"", ""x08""]"
56.0125,kind-worker2,False,2,"[""x07"", ""x08""]"
60.0658,kind-control-plane,False,0,[]
60.0719,kind-worker,False,3,"[""x01"", ""x06"", ""x08""]"
60.0865,kind-worker2,False,2,"[""x07"", ""x08""]"
60.1099,kind-worker3,False,2,"[""x02"", ""x09""]"
60.1129,kind-worker4,True,2,"[""x04"", ""x10""]"
60.1301,kind-worker5,False,3,"[""x01"", ""x02"", ""x09""]"
63.9729,kind-worker2,False,2,"[""x07"", ""x08""]"
65.5359,kind-control-plane,False,0,[]
71.3569,kind-worker2,False,3,"[""x01"", ""x07"", ""x08""]"
71.3702,kind-worker2,False,3,"[""x01"", ""x07"", ""x08""]"
72.5045,kind-worker,False,4,"[""x01"", ""x06"", ""x07"", ""x08""]"
72.518,kind-worker,False,4,"[""x01"", ""x06"", ""x07"", ""x08""]"
73.0849,kind-worker3,True,2,"[""x02"", ""x09""]"
73.1038,kind-worker3,True,2,"[""x02"", ""x09""]"
