task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-conflicts-rho040-r9-000,issuer1,x01,3,"[""d01""]",9,0.0,0.003,0.0403,0.003,0.0373,201,True,0.0453,0.0683,13.8629,nan,eval-conflicts-rho040-r9-000,0.0616,0.0213,eval-conflicts-rho040-r9-000-z9czz,0.0725,0.0109,0.0863,0.0138,kind-worker5,0.0833,0,0,0,0,0,0,none,False,nan,nan,,0.78,11.9058,nan,0.6936,11.1258,11.9028,Succeeded,Complete,False
1,eval-conflicts-rho040-r9-001,issuer9,x09,4,"[""d09""]",9,1.0,1.0017,1.0119,0.0017,0.0102,201,True,1.0208,1.0363,14.9151,nan,eval-conflicts-rho040-r9-001,1.0318,0.0198,eval-conflicts-rho040-r9-001-p9bvt,1.0413,0.0095,1.0587,0.0174,kind-worker2,0.057,0,0,0,0,0,0,none,False,nan,nan,,1.8622,12.9655,nan,0.8035,11.1033,11.9638,Succeeded,Complete,False
2,eval-conflicts-rho040-r9-002,issuer2,x02,3,"[""d02""]",9,2.0,2.0017,2.0342,0.0017,0.0325,201,True,2.0383,2.0615,15.9751,nan,eval-conflicts-rho040-r9-002,2.0524,0.0183,eval-conflicts-rho040-r9-002-8t86v,2.0604,0.008,2.0741,0.0136,kind-worker,0.0724,0,0,0,0,0,0,none,False,nan,nan,,2.895,14.1621,nan,0.8209,11.2672,12.1604,Succeeded,Complete,False
3,eval-conflicts-rho040-r9-003,issuer9,x09,4,"[""d09""]",9,3.0,3.001,3.019,0.001,0.018,201,True,3.0233,3.0436,16.8756,nan,eval-conflicts-rho040-r9-003,3.0375,0.0185,eval-conflicts-rho040-r9-003-4sd82,3.0456,0.0081,3.0624,0.0168,kind-worker5,0.0615,0,0,0,0,0,0,none,False,nan,nan,,3.7867,14.9459,nan,0.7243,11.1592,11.9449,Succeeded,Complete,False
4,eval-conflicts-rho040-r9-004,issuer4,x04,3,"[""d04""]",9,4.0,4.0002,4.0138,0.0002,0.0137,201,True,4.0179,4.042,17.9769,nan,eval-conflicts-rho040-r9-004,4.0327,0.0189,eval-conflicts-rho040-r9-004-4vltg,4.0399,0.0072,4.0576,0.0177,kind-worker,0.0574,0,0,0,0,0,0,none,False,nan,nan,,4.8961,16.1324,nan,0.8385,11.2363,12.1322,Succeeded,Complete,False
5,eval-conflicts-rho040-r9-005,issuer7,x07,5,"[""d07""]",9,5.0,5.0003,5.0104,0.0003,0.0101,201,True,5.0141,5.0347,19.1203,nan,eval-conflicts-rho040-r9-005,5.0291,0.0186,eval-conflicts-rho040-r9-005-55d2d,5.0339,0.0049,5.0482,0.0143,kind-worker4,0.0479,0,0,0,0,0,0,none,False,nan,nan,,6.0359,17.2374,nan,0.9877,11.2015,12.2371,Succeeded,Complete,False
6,eval-conflicts-rho040-r9-006,issuer6,x06,2,"[""d06""]",9,6.0,6.0002,6.0127,0.0002,0.0125,201,True,6.0178,6.0405,19.9795,nan,eval-conflicts-rho040-r9-006,6.0324,0.0198,eval-conflicts-rho040-r9-006-477qx,6.0381,0.0056,6.0573,0.0193,kind-worker,0.0571,0,0,0,0,0,0,none,False,nan,nan,,6.8974,18.1662,nan,0.8401,11.2688,12.166,Succeeded,Complete,False
7,eval-conflicts-rho040-r9-007,issuer9,x09,4,"[""d09""]",9,7.0,7.0004,7.0149,0.0004,0.0145,201,True,7.0189,7.0435,21.1023,nan,eval-conflicts-rho040-r9-007,7.0353,0.0203,eval-conflicts-rho040-r9-007-sffdn,7.0424,0.0072,7.0579,0.0154,kind-worker4,0.0575,0,0,0,0,0,0,none,False,nan,nan,,8.0413,19.2077,nan,0.9835,11.1664,12.2073,Succeeded,Complete,False
8,eval-conflicts-rho040-r9-008,issuer5,x05,5,"[""d05""]",9,8.0,8.0005,8.0085,0.0005,0.008,201,True,8.0136,8.0329,22.1074,nan,eval-conflicts-rho040-r9-008,8.028,0.0195,eval-conflicts-rho040-r9-008-z56dm,8.0346,0.0066,8.0488,0.0142,kind-worker4,0.0483,0,0,0,0,0,0,none,False,nan,nan,,9.0462,20.235,nan,0.9974,11.1888,12.2345,Succeeded,Complete,False
9,eval-conflicts-rho040-r9-009,issuer10,x10,3,"[""d10""]",9,9.0,9.0004,9.0155,0.0004,0.0151,201,True,9.0191,9.0377,23.3016,nan,eval-conflicts-rho040-r9-009,9.0342,0.0187,eval-conflicts-rho040-r9-009-gjtnm,9.043,0.0088,9.0553,0.0123,kind-worker3,0.0548,0,0,0,0,0,0,none,False,nan,nan,,10.2339,21.3648,nan,1.1786,11.131,12.3644,Succeeded,Complete,False
