t_recv,node,sanitizing,lambda_size,lambda
0.023,kind-control-plane,False,0,[]
0.0251,kind-worker,False,0,[]
0.0264,kind-worker2,False,0,[]
0.0277,kind-worker3,False,0,[]
0.029,kind-worker4,False,0,[]
0.0302,kind-worker5,False,0,[]
0.1109,kind-worker3,False,1,"[""x04""]"
0.1232,kind-worker3,False,1,"[""x04""]"
1.0966,kind-worker3,False,2,"[""x04"", ""x06""]"
1.104,kind-worker3,False,2,"[""x04"", ""x06""]"
2.0975,kind-worker5,False,1,"[""x07""]"
2.1089,kind-worker5,False,1,"[""x07""]"
3.1097,kind-worker,False,1,"[""x03""]"
3.1181,kind-worker,False,1,"[""x03""]"
5.2015,kind-worker5,False,2,"[""x01"", ""x07""]"
5.2127,kind-worker5,False,2,"[""x01"", ""x07""]"
6.1742,kind-worker2,False,1,"[""x02""]"
6.1896,kind-worker2,False,1,"[""x02""]"
9.177,kind-worker2,False,2,"[""x02"", ""x09""]"
9.1902,kind-worker2,False,2,"[""x02"", ""x09""]"
11.3589,kind-worker,True,1,"[""x03""]"
11.4291,kind-worker2,True,2,"[""x02"", ""x09""]"
11.5245,kind-worker,True,1,"[""x03""]"
11.5385,kind-worker5,True,2,"[""x01"", ""x07""]"
11.6556,kind-worker3,True,2,"[""x04"", ""x06""]"
11.6583,kind-worker2,True,2,"[""x02"", ""x09""]"
11.8387,kind-worker5,True,2,"[""x01"", ""x07""]"
11.9595,kind-worker3,True,2,"[""x04"", ""x06""]"
12.0816,kind-worker4,False,1,"[""x01""]"
12.094,kind-worker4,False,1,"[""x01""]"
13.1099,kind-worker4,False,2,"[""x01"", ""x08""]"
13.1382,kind-worker4,False,2,"[""x01"", ""x08""]"
16.0843,kind-worker4,False,3,"[""x01"", ""x07"", ""x08""]"
16.0952,kind-worker4,False,3,"[""x01"", ""x07"", ""x08""]"
26.5943,kind-worker,True,1,"[""x03""]"
51.3727,kind-worker4,True,3,"[""x01"", ""x07"", ""x08""]"
51.8547,kind-worker4,True,3,"[""x01"", ""x07"", ""x08""]"
53.4825,kind-worker2,True,0,[]
53.5266,kind-worker2,True,0,[]
53.9272,kind-worker2,False,0,[]
53.9548,kind-worker2,False,1,"[""x10""]"
53.9918,kind-worker2,False,2,"[""x04"", ""x10""]"
54.0293,kind-worker2,False,2,"[""x04"", ""x10""]"
54.2097,kind-worker2,False,2,"[""x04"", ""x10""]"
54.3077,kind-worker2,False,3,"[""x04"", ""x09"", ""x10""]"
54.3317,kind-worker2,False,3,"[""x04"", ""x09"", ""x10""]"
54.8357,kind-worker,True,0,[]
54.9301,kind-worker,True,0,[]
55.3359,kind-worker,False,0,[]
55.3406,kind-worker5,True,0,[]
55.3445,kind-worker3,True,0,[]
55.3922,kind-worker,False,1,"[""x05""]"
55.5107,kind-worker,False,2,"[""x05"", ""x08""]"
55.536,kind-worker3,False,0,[]
55.5411,kind-worker5,False,0,[]
55.5553,kind-worker,False,2,"[""x05"", ""x08""]"
55.5602,kind-worker3,False,0,[]
55.5629,kind-worker5,False,0,[]
55.5666,kind-worker3,False,1,"[""x06""]"
55.6061,kind-worker3,False,2,"[""x02"", ""x06""]"
