t_recv,node,sanitizing,lambda_size,lambda
0.0212,kind-control-plane,False,0,[]
0.026,kind-worker,False,0,[]
0.0282,kind-worker2,False,0,[]
0.0308,kind-worker3,False,0,[]
0.0334,kind-worker4,False,0,[]
0.0362,kind-worker5,False,0,[]
0.0918,kind-worker,False,1,"[""x08""]"
0.1051,kind-worker,False,1,"[""x08""]"
1.0618,kind-worker5,False,1,"[""x05""]"
1.0717,kind-worker5,False,1,"[""x05""]"
2.0717,kind-worker3,False,1,"[""x09""]"
2.0809,kind-worker3,False,1,"[""x09""]"
3.0775,kind-worker5,False,2,"[""x05"", ""x06""]"
3.0887,kind-worker5,False,2,"[""x05"", ""x06""]"
4.0721,kind-worker4,False,1,"[""x03""]"
4.082,kind-worker4,False,1,"[""x03""]"
5.0899,kind-worker3,False,2,"[""x07"", ""x09""]"
5.1,kind-worker3,False,2,"[""x07"", ""x09""]"
5.3682,kind-worker4,False,1,"[""x03""]"
6.0782,kind-worker2,False,1,"[""x01""]"
6.0894,kind-worker2,False,1,"[""x01""]"
9.2713,kind-worker3,False,3,"[""x05"", ""x07"", ""x09""]"
9.2816,kind-worker3,False,3,"[""x05"", ""x07"", ""x09""]"
11.1551,kind-worker,False,2,"[""x08"", ""x10""]"
11.1656,kind-worker,False,2,"[""x08"", ""x10""]"
12.0897,kind-worker2,False,2,"[""x01"", ""x04""]"
12.0993,kind-worker2,False,2,"[""x01"", ""x04""]"
14.1572,kind-worker4,False,2,"[""x01"", ""x03""]"
14.1671,kind-worker4,False,2,"[""x01"", ""x03""]"
17.5763,kind-worker,True,2,"[""x08"", ""x10""]"
17.5897,kind-worker,True,2,"[""x08"", ""x10""]"
18.1318,kind-worker4,True,2,"[""x01"", ""x03""]"
18.1337,kind-worker3,True,3,"[""x05"", ""x07"", ""x09""]"
18.3229,kind-worker4,True,2,"[""x01"", ""x03""]"
18.3247,kind-worker3,True,3,"[""x05"", ""x07"", ""x09""]"
19.0657,kind-worker2,False,3,"[""x01"", ""x03"", ""x04""]"
19.0754,kind-worker2,False,3,"[""x01"", ""x03"", ""x04""]"
19.3835,kind-worker2,True,3,"[""x01"", ""x03"", ""x04""]"
19.3969,kind-worker2,True,3,"[""x01"", ""x03"", ""x04""]"
