task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-sanitize-10-r4-000,issuer2,x02,5,"[""d02""]",4,0.0,0.0039,0.04,0.0039,0.0361,201,True,0.0464,0.0694,14.2315,nan,eval-sanitize-10-r4-000,0.065,0.025,eval-sanitize-10-r4-000-mhkmj,0.0742,0.0092,0.0885,0.0143,kind-worker5,0.0846,0,0,0,0,0,0,none,False,nan,nan,,1.1668,12.3442,nan,1.0783,11.1774,12.3403,Succeeded,Complete,False
1,eval-sanitize-10-r4-001,issuer10,x10,4,"[""d10""]",4,1.0,1.0002,1.0135,0.0002,0.0133,201,True,1.0177,1.0371,15.5783,nan,eval-sanitize-10-r4-001,1.0327,0.0192,eval-sanitize-10-r4-001-7vvjh,1.0401,0.0074,1.0574,0.0173,kind-worker3,0.0572,0,0,0,0,0,0,none,False,nan,nan,,2.5158,13.7449,nan,1.4584,11.2291,12.7446,Succeeded,Complete,False
2,eval-sanitize-10-r4-002,issuer9,x09,5,"[""d09""]",4,2.0,2.0001,2.0129,0.0001,0.0128,201,True,2.0186,2.0389,15.8978,nan,eval-sanitize-10-r4-002,2.0346,0.0217,eval-sanitize-10-r4-002-g2zhp,2.0422,0.0077,2.0598,0.0176,kind-worker,0.0597,0,0,0,0,0,0,none,False,nan,nan,,2.8357,13.9589,nan,0.7759,11.1232,11.9589,Succeeded,Complete,False
3,eval-sanitize-10-r4-003,issuer4,x04,4,"[""d04""]",4,3.0,3.0002,3.0143,0.0002,0.0141,201,True,3.0202,3.0457,17.5913,nan,eval-sanitize-10-r4-003,3.0354,0.0212,eval-sanitize-10-r4-003-s7dfn,3.045,0.0096,3.0676,0.0226,kind-worker3,0.0674,0,0,0,0,0,0,none,False,nan,nan,,4.5302,15.7347,nan,1.4626,11.2045,12.7345,Succeeded,Complete,False
4,eval-sanitize-10-r4-004,issuer5,x05,5,"[""d05""]",4,4.0,4.0,4.015,0.0,0.015,201,True,4.0186,4.0399,18.2432,nan,eval-sanitize-10-r4-004,4.0351,0.0201,eval-sanitize-10-r4-004-mqs4s,4.043,0.0079,4.0652,0.0222,kind-worker5,0.0652,0,0,0,0,0,0,none,False,nan,nan,,5.1744,16.2765,nan,1.1092,11.1021,12.2765,Succeeded,Complete,False
5,eval-sanitize-10-r4-005,issuer5,x05,5,"[""d05""]",4,5.0,5.0001,5.0089,0.0001,0.0088,201,True,5.0123,5.1445,19.1779,nan,eval-sanitize-10-r4-005,5.0289,0.02,eval-sanitize-10-r4-005-8fphc,5.0356,0.0067,5.0558,0.0202,kind-worker4,0.0557,0,0,0,0,0,0,none,False,nan,nan,,6.1003,17.2242,nan,1.0445,11.1239,12.2241,Succeeded,Complete,False
6,eval-sanitize-10-r4-006,issuer5,x05,5,"[""d05""]",4,6.0,6.0001,6.006,0.0001,0.0059,201,True,6.0094,6.0288,19.915,nan,eval-sanitize-10-r4-006,6.0244,0.0184,eval-sanitize-10-r4-006-zt9fq,6.0337,0.0093,6.051,0.0172,kind-worker,0.0508,0,0,0,0,0,0,none,False,nan,nan,,6.8405,18.0006,nan,0.7895,11.1601,12.0004,Succeeded,Complete,False
7,eval-sanitize-10-r4-007,issuer2,x02,5,"[""d02""]",4,7.0,7.0003,7.0084,0.0003,0.0081,201,True,7.0138,7.0344,21.2616,nan,eval-sanitize-10-r4-007,7.03,0.0217,eval-sanitize-10-r4-007-pg45p,7.0372,0.0072,7.0486,0.0113,kind-worker5,0.0483,0,0,0,0,0,0,none,False,nan,nan,,8.1802,19.4044,nan,1.1316,11.2242,12.4041,Succeeded,Complete,False
8,eval-sanitize-10-r4-008,issuer8,x08,6,"[""d08""]",4,8.0,8.0005,8.0121,0.0005,0.0115,201,True,8.0225,8.046,21.7682,nan,eval-sanitize-10-r4-008,8.0381,0.026,eval-sanitize-10-r4-008-mft72,8.0474,0.0093,8.0543,0.0069,kind-worker2,0.0537,0,0,0,0,0,0,none,False,nan,nan,,8.6972,19.8257,nan,0.6429,11.1285,11.8252,Succeeded,Complete,False
9,eval-sanitize-10-r4-009,issuer5,x05,5,"[""d05""]",4,9.0,9.0001,9.0075,0.0001,0.0074,201,True,9.0112,9.0343,30.642,nan,eval-sanitize-10-r4-009,9.0272,0.0197,eval-sanitize-10-r4-009-jfcph,9.0342,0.007,16.1116,7.0774,kind-worker3,7.1115,5,5,5,0,1,5,mixed,True,9.0425,7.0691,"0/6 nodes are available: 1 c_wall violated: 1 conflicting context pair(s) with node memory, 5 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 1 No preemption victims found for incoming pod, 5 Preemption is not helpful for scheduling.",17.5908,29.0905,nan,1.4792,11.4997,20.0904,Succeeded,Complete,False
10,eval-sanitize-10-r4-010,issuer8,x08,6,"[""d08""]",4,10.0,10.0002,10.0064,0.0002,0.0061,201,True,10.0115,10.035,23.7678,nan,eval-sanitize-10-r4-010,10.028,0.0217,eval-sanitize-10-r4-010-tnr6v,10.0334,0.0054,10.0426,0.0092,kind-worker2,0.0424,0,0,0,0,0,0,none,False,nan,nan,,10.7039,21.8242,nan,0.6612,11.1203,11.824,Succeeded,Complete,False
