t_recv,kind,type,name,detail
0.0282,Node,ADDED,kind-control-plane,taints=1
0.0319,Node,ADDED,kind-worker,taints=0
0.0331,Node,ADDED,kind-worker2,taints=0
0.0343,Node,ADDED,kind-worker3,taints=0
0.0359,Node,ADDED,kind-worker4,taints=0
0.0373,Node,ADDED,kind-worker5,taints=0
0.0457,TaskRequest,ADDED,eval-sanitize-45-r0-000,phase=None job=None
0.0539,TaskRequest,MODIFIED,eval-sanitize-45-r0-000,phase=Pending job=None
0.0697,Job,ADDED,eval-sanitize-45-r0-000,
0.0751,TaskRequest,MODIFIED,eval-sanitize-45-r0-000,phase=Scheduled job=None
0.0804,Job,MODIFIED,eval-sanitize-45-r0-000,
0.0831,Pod,ADDED,eval-sanitize-45-r0-000-bs22w,phase=Pending node=None
0.0833,TaskRequest,MODIFIED,eval-sanitize-45-r0-000,phase=Scheduled job=None
0.0867,Event,ADDED,eval-sanitize-45-r0-000.18d3fd76b4274c04,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-45-r0-000-bs22w
0.098,Pod,MODIFIED,eval-sanitize-45-r0-000-bs22w,phase=Pending node=kind-worker
0.1106,Pod,MODIFIED,eval-sanitize-45-r0-000-bs22w,phase=Pending node=kind-worker
0.1848,Event,ADDED,eval-sanitize-45-r0-000-bs22w.18d3fd76b9b6c5d4,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-45-r0-000-bs22w to kind-worker
0.1884,Node,MODIFIED,kind-worker,taints=0
0.2001,Node,MODIFIED,kind-worker,taints=0
0.5322,Event,ADDED,eval-sanitize-45-r0-000-bs22w.18d3fd76ceaaab62,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.5521,Event,ADDED,eval-sanitize-45-r0-000-bs22w.18d3fd76cfbfebe1,reason=Created count=1 msg=Created container: task
0.5873,Event,ADDED,eval-sanitize-45-r0-000-bs22w.18d3fd76d1e574ca,reason=Started count=1 msg=Started container task
0.6581,Pod,MODIFIED,eval-sanitize-45-r0-000-bs22w,phase=Running node=kind-worker
1.0153,TaskRequest,ADDED,eval-sanitize-45-r0-001,phase=None job=None
1.0189,TaskRequest,MODIFIED,eval-sanitize-45-r0-001,phase=Pending job=None
1.0349,Job,ADDED,eval-sanitize-45-r0-001,
1.0409,Pod,ADDED,eval-sanitize-45-r0-001-lf6js,phase=Pending node=None
1.042,TaskRequest,MODIFIED,eval-sanitize-45-r0-001,phase=Scheduled job=None
1.045,Job,MODIFIED,eval-sanitize-45-r0-001,
1.0465,Event,ADDED,eval-sanitize-45-r0-001.18d3fd76ed3baac1,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-45-r0-001-lf6js
1.0489,TaskRequest,MODIFIED,eval-sanitize-45-r0-001,phase=Scheduled job=None
1.0574,Pod,MODIFIED,eval-sanitize-45-r0-001-lf6js,phase=Pending node=kind-worker3
1.0618,Event,ADDED,eval-sanitize-45-r0-001-lf6js.18d3fd76ee380a02,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-45-r0-001-lf6js to kind-worker3
1.0674,Node,MODIFIED,kind-worker3,taints=0
1.0686,Pod,MODIFIED,eval-sanitize-45-r0-001-lf6js,phase=Pending node=kind-worker3
1.0774,Node,MODIFIED,kind-worker3,taints=0
1.0855,Job,MODIFIED,eval-sanitize-45-r0-000,
1.0938,Job,MODIFIED,eval-sanitize-45-r0-000,
1.4819,Event,ADDED,eval-sanitize-45-r0-001-lf6js.18d3fd7707447a56,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
1.5027,Event,ADDED,eval-sanitize-45-r0-001-lf6js.18d3fd770883629d,reason=Created count=1 msg=Created container: task
1.5637,Event,ADDED,eval-sanitize-45-r0-001-lf6js.18d3fd770c1a86a5,reason=Started count=1 msg=Started container task
1.8017,Pod,MODIFIED,eval-sanitize-45-r0-001-lf6js,phase=Running node=kind-worker3
2.014,TaskRequest,ADDED,eval-sanitize-45-r0-002,phase=None job=None
2.019,TaskRequest,MODIFIED,eval-sanitize-45-r0-002,phase=Pending job=None
2.0365,Job,ADDED,eval-sanitize-45-r0-002,
2.0431,Pod,ADDED,eval-sanitize-45-r0-002-9j89d,phase=Pending node=None
2.0432,TaskRequest,MODIFIED,eval-sanitize-45-r0-002,phase=Scheduled job=None
2.0466,Job,MODIFIED,eval-sanitize-45-r0-001,
2.0479,Event,ADDED,eval-sanitize-45-r0-002.18d3fd7728f4fb4d,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-45-r0-002-9j89d
2.0487,Job,MODIFIED,eval-sanitize-45-r0-002,
