task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-sanitize-40-r2-000,issuer2,x02,4,"[""d02""]",2,0.0,0.0037,0.0987,0.0037,0.095,201,True,0.1264,0.1527,24.2132,nan,eval-sanitize-40-r2-000,0.1466,0.048,eval-sanitize-40-r2-000-8vz9h,0.1556,0.0089,0.1687,0.0132,kind-worker3,0.1651,0,0,0,0,0,0,none,False,nan,nan,,2.1184,23.2731,nan,1.9497,21.1547,23.2694,Succeeded,Complete,False
1,eval-sanitize-40-r2-001,issuer4,x04,4,"[""d04""]",2,1.0,1.0003,1.2522,0.0003,0.2519,201,True,1.2583,1.2789,25.911,nan,eval-sanitize-40-r2-001,1.2731,0.0209,eval-sanitize-40-r2-001-hj628,1.2846,0.0115,1.3004,0.0158,kind-worker5,0.3001,0,0,0,0,0,0,none,False,nan,nan,,2.8642,24.1016,nan,1.5637,21.2374,23.1012,Succeeded,Complete,False
2,eval-sanitize-40-r2-002,issuer3,x03,8,"[""d03""]",2,2.0,2.0009,2.1156,0.0009,0.1147,201,True,2.1207,2.1434,26.733,nan,eval-sanitize-40-r2-002,2.1386,0.023,eval-sanitize-40-r2-002-j4d99,2.1482,0.0096,2.1656,0.0174,kind-worker,0.1647,0,0,0,0,0,0,none,False,nan,nan,,3.5928,24.8882,nan,1.4272,21.2954,22.8872,Succeeded,Complete,False
3,eval-sanitize-40-r2-003,issuer7,x07,2,"[""d07""]",2,3.0,3.0008,3.0162,0.0008,0.0154,201,True,3.0206,3.0469,27.3201,nan,eval-sanitize-40-r2-003,3.0387,0.0225,eval-sanitize-40-r2-003-7xq7q,3.0493,0.0106,3.0732,0.0239,kind-worker3,0.0725,0,0,0,0,0,0,none,False,nan,nan,,4.0308,25.1792,nan,0.9576,21.1484,22.1784,Succeeded,Complete,False
4,eval-sanitize-40-r2-004,issuer2,x02,4,"[""d02""]",2,4.0,4.0003,4.045,0.0003,0.0447,201,True,4.049,4.0712,27.1354,nan,eval-sanitize-40-r2-004,4.0642,0.0192,eval-sanitize-40-r2-004-xnhcr,4.071,0.0068,4.0898,0.0188,kind-worker3,0.0895,0,0,0,0,0,0,none,False,nan,nan,,4.9844,26.3279,nan,0.8946,21.3435,22.3275,Succeeded,Complete,False
5,eval-sanitize-40-r2-005,issuer7,x07,2,"[""d07""]",2,5.0,5.0003,5.0081,0.0003,0.0078,201,True,5.0121,5.0323,28.9635,nan,eval-sanitize-40-r2-005,5.0279,0.0198,eval-sanitize-40-r2-005-556k8,5.0357,0.0078,5.0543,0.0187,kind-worker5,0.054,0,0,0,0,0,0,none,False,nan,nan,,5.8244,27.0276,nan,0.7701,21.2032,22.0273,Succeeded,Complete,False
6,eval-sanitize-40-r2-006,issuer1,x01,4,"[""d01""]",2,6.0,6.0001,6.0132,0.0001,0.0131,201,True,6.1089,6.132,29.9799,nan,eval-sanitize-40-r2-006,6.1271,0.1139,eval-sanitize-40-r2-006-fpx6z,6.1349,0.0078,6.1536,0.0187,kind-worker5,0.1535,0,0,0,0,0,0,none,False,nan,nan,,6.8489,28.0543,nan,0.6953,21.2054,22.0542,Succeeded,Complete,False
7,eval-sanitize-40-r2-007,issuer6,x06,7,"[""d06""]",2,7.0,7.0003,7.0133,0.0003,0.013,201,True,7.1152,7.1381,31.2469,nan,eval-sanitize-40-r2-007,7.1299,0.1165,eval-sanitize-40-r2-007-h6mnb,7.1368,0.0069,7.1574,0.0206,kind-worker2,0.1571,0,0,0,0,0,0,none,False,nan,nan,,7.9939,29.2561,nan,0.8365,21.2622,22.2558,Succeeded,Complete,False
8,eval-sanitize-40-r2-008,issuer7,x07,2,"[""d07""]",2,8.0,8.0006,8.0113,0.0006,0.0107,201,True,8.0157,8.0437,31.2431,nan,eval-sanitize-40-r2-008,8.0349,0.0236,eval-sanitize-40-r2-008-vqfk5,8.0435,0.0086,8.0663,0.0227,kind-worker3,0.0657,0,0,0,0,0,0,none,False,nan,nan,,8.9892,30.2578,nan,0.9229,21.2686,22.2572,Succeeded,Complete,False
9,eval-sanitize-40-r2-009,issuer1,x01,4,"[""d01""]",2,9.0,9.0004,9.008,0.0004,0.0076,201,True,9.0117,9.0346,33.1236,nan,eval-sanitize-40-r2-009,9.0296,0.0216,eval-sanitize-40-r2-009-d7jhz,9.0377,0.0081,9.0642,0.0265,kind-worker5,0.0638,0,0,0,0,0,0,none,False,nan,nan,,9.8394,31.0281,nan,0.7752,21.1887,22.0277,Succeeded,Complete,False
10,eval-sanitize-40-r2-010,issuer5,x05,3,"[""d05""]",2,10.0,10.0001,10.0222,0.0001,0.0221,201,True,10.0275,10.0516,34.3468,nan,eval-sanitize-40-r2-010,10.0434,0.0213,eval-sanitize-40-r2-010-shsbq,10.0506,0.0072,10.0762,0.0255,kind-worker2,0.076,0,0,0,0,0,0,none,False,nan,nan,,11.0021,32.2482,nan,0.926,21.2461,22.2481,Succeeded,Complete,False
11,eval-sanitize-40-r2-011,issuer5,x05,3,"[""d05""]",2,11.0,11.0002,11.0085,0.0002,0.0083,201,True,11.0144,11.0351,35.3766,nan,eval-sanitize-40-r2-011,11.0298,0.0213,eval-sanitize-40-r2-011-f2gmg,11.0383,0.0085,11.062,0.0237,kind-worker3,0.0618,0,0,0,0,0,0,none,False,nan,nan,,13.0206,33.4467,nan,1.9586,20.4262,22.4466,Succeeded,Complete,False
12,eval-sanitize-40-r2-012,issuer5,x05,3,"[""d05""]",2,12.0,12.0002,12.0067,0.0002,0.0065,201,True,12.0124,12.0369,36.2807,nan,eval-sanitize-40-r2-012,12.0288,0.0221,eval-sanitize-40-r2-012-zgmk7,12.036,0.0072,12.0428,0.0069,kind-worker4,0.0427,0,0,0,0,0,0,none,False,nan,nan,,13.2401,34.3227,nan,1.1972,21.0826,22.3225,Succeeded,Complete,False
