task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-sanitize-45-r1-000,issuer8,x08,6,"[""d08""]",1,0.0,0.0031,0.0376,0.0031,0.0345,201,True,0.0434,0.0659,14.2747,nan,eval-sanitize-45-r1-000,0.0597,0.0222,eval-sanitize-45-r1-000-bs8jh,0.0678,0.008,0.0814,0.0137,kind-worker3,0.0783,0,0,0,0,0,0,none,False,nan,nan,,1.2145,12.3961,nan,1.133,11.1816,12.393,Succeeded,Complete,False
1,eval-sanitize-45-r1-001,issuer9,x09,5,"[""d09""]",1,1.0,1.0004,1.0135,0.0004,0.0132,201,True,1.0179,1.0414,15.1417,nan,eval-sanitize-45-r1-001,1.0343,0.0208,eval-sanitize-45-r1-001-h62gb,1.0412,0.0069,1.0576,0.0164,kind-worker,0.0572,0,0,0,0,0,0,none,False,nan,nan,,2.0746,13.2656,nan,1.017,11.191,12.2652,Succeeded,Complete,False
2,eval-sanitize-45-r1-002,issuer8,x08,6,"[""d08""]",1,2.0,2.0003,2.0093,0.0003,0.009,201,True,2.0131,2.0358,16.3631,nan,eval-sanitize-45-r1-002,2.0295,0.0202,eval-sanitize-45-r1-002-wg26l,2.0344,0.0049,2.0532,0.0187,kind-worker5,0.0528,0,0,0,0,0,0,none,False,nan,nan,,3.3125,14.405,nan,1.2593,11.0925,12.4046,Succeeded,Complete,False
3,eval-sanitize-45-r1-003,issuer8,x08,6,"[""d08""]",1,3.0,3.0005,3.0156,0.0005,0.0151,201,True,3.0197,3.0419,17.3688,nan,eval-sanitize-45-r1-003,3.0363,0.0207,eval-sanitize-45-r1-003-6wkb5,3.0437,0.0074,3.066,0.0223,kind-worker5,0.0655,0,0,0,0,0,0,none,False,nan,nan,,4.3088,15.4628,nan,1.2428,11.154,12.4622,Succeeded,Complete,False
4,eval-sanitize-45-r1-004,issuer9,x09,5,"[""d09""]",1,4.0,4.0004,4.0088,0.0004,0.0084,201,True,4.0135,4.0366,18.0103,nan,eval-sanitize-45-r1-004,4.0291,0.0203,eval-sanitize-45-r1-004-4l52l,4.0365,0.0073,4.0583,0.0218,kind-worker2,0.0579,0,0,0,0,0,0,none,False,nan,nan,,4.9467,16.0908,nan,0.8884,11.144,12.0904,Succeeded,Complete,False
5,eval-sanitize-45-r1-005,issuer10,x10,4,"[""d10""]",1,5.0,5.0007,5.0134,0.0007,0.0128,201,True,5.0171,5.0378,19.282,nan,eval-sanitize-45-r1-005,5.0323,0.0189,eval-sanitize-45-r1-005-cphjl,5.0398,0.0075,5.0645,0.0248,kind-worker3,0.0639,0,0,0,0,0,0,none,False,nan,nan,,6.2245,17.3307,nan,1.1599,11.1062,12.33,Succeeded,Complete,False
6,eval-sanitize-45-r1-006,issuer4,x04,4,"[""d04""]",1,6.0,6.0002,6.0138,0.0002,0.0136,201,True,6.0197,6.0423,20.2963,nan,eval-sanitize-45-r1-006,6.0338,0.02,eval-sanitize-45-r1-006-gmlhd,6.0415,0.0077,6.0874,0.0459,kind-worker3,0.0873,0,0,0,0,0,0,none,False,nan,nan,,7.2272,18.3669,nan,1.1397,11.1397,12.3667,Succeeded,Complete,False
7,eval-sanitize-45-r1-007,issuer3,x03,4,"[""d03""]",1,7.0,7.0002,7.0138,0.0002,0.0136,201,True,7.0175,7.0388,21.4377,nan,eval-sanitize-45-r1-007,7.0331,0.0193,eval-sanitize-45-r1-007-6ldgf,7.0404,0.0073,7.1147,0.0743,kind-worker4,0.1145,0,0,0,0,0,0,none,False,nan,nan,,8.3746,19.487,nan,1.2599,11.1124,12.4868,Succeeded,Complete,False
8,eval-sanitize-45-r1-008,issuer9,x09,5,"[""d09""]",1,8.0,8.0003,8.0096,0.0003,0.0093,201,True,8.0134,8.0373,22.1587,nan,eval-sanitize-45-r1-008,8.0292,0.0196,eval-sanitize-45-r1-008-dzslv,8.0348,0.0056,8.123,0.0882,kind-worker,0.1227,0,0,0,0,0,0,none,False,nan,nan,,9.0882,20.2897,nan,0.9652,11.2014,12.2893,Succeeded,Complete,False
9,eval-sanitize-45-r1-009,issuer8,x08,6,"[""d08""]",1,9.0,9.0002,9.0085,0.0002,0.0083,201,True,9.0137,9.0368,23.382,nan,eval-sanitize-45-r1-009,9.0288,0.0202,eval-sanitize-45-r1-009-pbv9s,9.0352,0.0064,9.1188,0.0836,kind-worker5,0.1186,0,0,0,0,0,0,none,False,nan,nan,,10.3196,21.4352,nan,1.2009,11.1156,12.435,Succeeded,Complete,False
