t_recv,kind,type,name,detail
0.0198,Node,ADDED,kind-control-plane,taints=1
0.0233,Node,ADDED,kind-worker,taints=0
0.0245,Node,ADDED,kind-worker2,taints=0
0.0255,Node,ADDED,kind-worker3,taints=0
0.0266,Node,ADDED,kind-worker4,taints=0
0.0275,Node,ADDED,kind-worker5,taints=0
0.04,TaskRequest,ADDED,eval-sanitize-5-r1-000,phase=None job=None
0.0461,TaskRequest,MODIFIED,eval-sanitize-5-r1-000,phase=Pending job=None
0.0637,Job,ADDED,eval-sanitize-5-r1-000,
0.0679,TaskRequest,MODIFIED,eval-sanitize-5-r1-000,phase=Scheduled job=None
0.0717,Pod,ADDED,eval-sanitize-5-r1-000-d4wgq,phase=Pending node=None
0.0748,Job,MODIFIED,eval-sanitize-5-r1-000,
0.0802,Event,ADDED,eval-sanitize-5-r1-000.18d3d3d3d3e8fe61,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-5-r1-000-d4wgq
0.0903,Pod,MODIFIED,eval-sanitize-5-r1-000-d4wgq,phase=Pending node=kind-worker2
0.0925,TaskRequest,MODIFIED,eval-sanitize-5-r1-000,phase=Scheduled job=None
0.0969,Event,ADDED,eval-sanitize-5-r1-000-d4wgq.18d3d3d3d5078a45,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-5-r1-000-d4wgq to kind-worker2
0.1003,Pod,MODIFIED,eval-sanitize-5-r1-000-d4wgq,phase=Pending node=kind-worker2
0.1027,Node,MODIFIED,kind-worker2,taints=0
0.1163,Node,MODIFIED,kind-worker2,taints=0
0.5244,Event,ADDED,eval-sanitize-5-r1-000-d4wgq.18d3d3d3eea7733e,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.5533,Event,ADDED,eval-sanitize-5-r1-000-d4wgq.18d3d3d3f04b2439,reason=Created count=1 msg=Created container: task
0.5813,Event,ADDED,eval-sanitize-5-r1-000-d4wgq.18d3d3d3f21bb7ef,reason=Started count=1 msg=Started container task
1.0175,TaskRequest,ADDED,eval-sanitize-5-r1-001,phase=None job=None
1.0211,TaskRequest,MODIFIED,eval-sanitize-5-r1-001,phase=Pending job=None
1.0369,Job,ADDED,eval-sanitize-5-r1-001,
1.0404,TaskRequest,MODIFIED,eval-sanitize-5-r1-001,phase=Scheduled job=None
1.0432,Pod,ADDED,eval-sanitize-5-r1-001-8fdbs,phase=Pending node=None
1.0456,Job,MODIFIED,eval-sanitize-5-r1-001,
1.0479,Event,ADDED,eval-sanitize-5-r1-001.18d3d3d40dd9e4fc,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-5-r1-001-8fdbs
1.048,TaskRequest,MODIFIED,eval-sanitize-5-r1-001,phase=Scheduled job=None
1.0545,Pod,MODIFIED,eval-sanitize-5-r1-001-8fdbs,phase=Pending node=kind-worker
1.0579,Event,ADDED,eval-sanitize-5-r1-001-8fdbs.18d3d3d40e821b60,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-5-r1-001-8fdbs to kind-worker
1.0649,Node,MODIFIED,kind-worker,taints=0
1.0666,Pod,MODIFIED,eval-sanitize-5-r1-001-8fdbs,phase=Pending node=kind-worker
1.0748,Node,MODIFIED,kind-worker,taints=0
1.0774,Job,MODIFIED,eval-sanitize-5-r1-000,
1.0855,Job,MODIFIED,eval-sanitize-5-r1-000,
1.3519,Pod,MODIFIED,eval-sanitize-5-r1-000-d4wgq,phase=Running node=kind-worker2
1.4791,Event,ADDED,eval-sanitize-5-r1-001-8fdbs.18d3d3d42790c4e7,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
1.4967,Event,ADDED,eval-sanitize-5-r1-001-8fdbs.18d3d3d428a8dac7,reason=Created count=1 msg=Created container: task
1.5438,Event,ADDED,eval-sanitize-5-r1-001-8fdbs.18d3d3d42b6c0ff9,reason=Started count=1 msg=Started container task
1.877,Pod,MODIFIED,eval-sanitize-5-r1-001-8fdbs,phase=Running node=kind-worker
2.0317,TaskRequest,ADDED,eval-sanitize-5-r1-002,phase=None job=None
2.0353,TaskRequest,MODIFIED,eval-sanitize-5-r1-002,phase=Pending job=None
2.0482,Job,MODIFIED,eval-sanitize-5-r1-001,
2.052,Job,ADDED,eval-sanitize-5-r1-002,
2.0581,Pod,ADDED,eval-sanitize-5-r1-002-rg6gt,phase=Pending node=None
2.0583,TaskRequest,MODIFIED,eval-sanitize-5-r1-002,phase=Scheduled job=None
2.0606,Job,MODIFIED,eval-sanitize-5-r1-002,
2.0633,Event,ADDED,eval-sanitize-5-r1-002.18d3d3d44a5513d3,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-5-r1-002-rg6gt
2.0661,TaskRequest,MODIFIED,eval-sanitize-5-r1-002,phase=Scheduled job=None
2.0704,Job,MODIFIED,eval-sanitize-5-r1-001,
2.0763,Pod,MODIFIED,eval-sanitize-5-r1-002-rg6gt,phase=Pending node=kind-worker2
2.0796,Event,ADDED,eval-sanitize-5-r1-002-rg6gt.18d3d3d44b637e96,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-5-r1-002-rg6gt to kind-worker2
2.0825,Job,MODIFIED,eval-sanitize-5-r1-000,
2.0863,Node,MODIFIED,kind-worker2,taints=0
2.0888,Pod,MODIFIED,eval-sanitize-5-r1-002-rg6gt,phase=Pending node=kind-worker2
2.0933,Job,MODIFIED,eval-sanitize-5-r1-000,
2.0965,Node,MODIFIED,kind-worker2,taints=0
2.3704,Node,MODIFIED,kind-worker,taints=1
2.3959,Node,MODIFIED,kind-worker,taints=1
2.5295,Event,ADDED,eval-sanitize-5-r1-002-rg6gt.18d3d3d4660f39ac,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
2.5506,Event,ADDED,eval-sanitize-5-r1-002-rg6gt.18d3d3d4673e25e5,reason=Created count=1 msg=Created container: task
