task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-conflicts-rho030-r8-000,issuer3,x03,3,"[""d03""]",8,0.0,0.0028,0.0267,0.0028,0.0239,201,True,0.0319,0.0539,13.0611,nan,eval-conflicts-rho030-r8-000,0.0467,0.0201,eval-conflicts-rho030-r8-000-bvzj9,0.06,0.0133,0.0734,0.0134,kind-worker,0.0707,0,0,0,0,0,0,none,False,nan,nan,,0.9945,12.1701,nan,0.9211,11.1756,12.1674,Succeeded,Complete,False
1,eval-conflicts-rho030-r8-001,issuer2,x02,2,"[""d02""]",8,1.0,1.0019,1.0114,0.0019,0.0095,201,True,1.0152,1.0391,15.2862,nan,eval-conflicts-rho030-r8-001,1.0323,0.0209,eval-conflicts-rho030-r8-001-hfr27,1.0369,0.0046,1.055,0.0181,kind-worker2,0.0532,0,0,0,0,0,0,none,False,nan,nan,,2.2218,13.3799,nan,1.1668,11.1581,12.3781,Succeeded,Complete,False
2,eval-conflicts-rho030-r8-002,issuer8,x08,4,"[""d08""]",8,2.0,2.0014,2.0138,0.0014,0.0124,201,True,2.0151,2.0354,15.9966,nan,eval-conflicts-rho030-r8-002,2.0321,0.0183,eval-conflicts-rho030-r8-002-6kf7x,2.0403,0.0082,2.0554,0.0152,kind-worker5,0.054,0,0,0,0,0,0,none,False,nan,nan,,2.9233,14.1636,nan,0.8678,11.2403,12.1622,Succeeded,Complete,False
3,eval-conflicts-rho030-r8-003,issuer6,x06,2,"[""d06""]",8,3.0,3.0016,3.0238,0.0016,0.0223,201,True,3.0283,3.0525,17.0039,nan,eval-conflicts-rho030-r8-003,3.0468,0.023,eval-conflicts-rho030-r8-003-9wsgc,3.0524,0.0056,3.0751,0.0227,kind-worker5,0.0735,0,0,0,0,0,0,none,False,nan,nan,,3.9277,15.0497,nan,0.8526,11.122,12.0481,Succeeded,Complete,False
4,eval-conflicts-rho030-r8-004,issuer4,x04,2,"[""d04""]",8,4.0,4.0006,4.0093,0.0006,0.0087,201,True,4.0129,4.0316,18.3,nan,eval-conflicts-rho030-r8-004,4.0288,0.0194,eval-conflicts-rho030-r8-004-jqqgk,4.0344,0.0056,4.0497,0.0153,kind-worker2,0.0491,0,0,0,0,0,0,none,False,nan,nan,,5.2285,16.4107,nan,1.1788,11.1822,12.4101,Succeeded,Complete,False
5,eval-conflicts-rho030-r8-005,issuer4,x04,2,"[""d04""]",8,5.0,5.0005,5.0167,0.0005,0.0162,201,True,5.0466,5.066,19.049,nan,eval-conflicts-rho030-r8-005,5.0613,0.0446,eval-conflicts-rho030-r8-005-4bd7r,5.0687,0.0074,5.0792,0.0104,kind-worker5,0.0787,0,0,0,0,0,0,none,False,nan,nan,,5.9462,17.059,nan,0.8671,11.1128,12.0586,Succeeded,Complete,False
6,eval-conflicts-rho030-r8-006,issuer8,x08,4,"[""d08""]",8,6.0,6.0003,6.007,0.0003,0.0066,201,True,6.0108,6.0332,20.4781,nan,eval-conflicts-rho030-r8-006,6.0259,0.0189,eval-conflicts-rho030-r8-006-n6qdj,6.0331,0.0073,6.0431,0.01,kind-worker4,0.0428,0,0,0,0,0,0,none,False,nan,nan,,7.4091,18.5645,nan,1.366,11.1553,12.5641,Succeeded,Complete,False
7,eval-conflicts-rho030-r8-007,issuer8,x08,4,"[""d08""]",8,7.0,7.0003,7.0094,0.0003,0.0091,201,True,7.0151,7.0383,21.4827,nan,eval-conflicts-rho030-r8-007,7.0302,0.0207,eval-conflicts-rho030-r8-007-m6tgj,7.0371,0.0069,7.0521,0.015,kind-worker4,0.0518,0,0,0,0,0,0,none,False,nan,nan,,8.4125,19.6291,nan,1.3604,11.2166,12.6288,Succeeded,Complete,False
8,eval-conflicts-rho030-r8-008,issuer3,x03,3,"[""d03""]",8,8.0,8.0003,8.0065,0.0003,0.0063,201,True,8.0102,8.0349,21.7148,nan,eval-conflicts-rho030-r8-008,8.0279,0.0214,eval-conflicts-rho030-r8-008-q5bl8,8.0349,0.0069,8.0464,0.0116,kind-worker3,0.0462,0,0,0,0,0,0,none,False,nan,nan,,8.6618,19.8611,nan,0.6154,11.1993,11.8608,Succeeded,Complete,False
9,eval-conflicts-rho030-r8-009,issuer8,x08,4,"[""d08""]",8,9.0,9.0007,9.0089,0.0007,0.0082,201,True,9.014,9.0382,23.4921,nan,eval-conflicts-rho030-r8-009,9.0304,0.0216,eval-conflicts-rho030-r8-009-55j9k,9.0372,0.0068,9.053,0.0157,kind-worker4,0.0523,0,0,0,0,0,0,none,False,nan,nan,,10.42,21.5381,nan,1.367,11.1182,12.5375,Succeeded,Complete,False
