t_recv,node,sanitizing,lambda_size,lambda
0.0343,kind-control-plane,False,0,[]
0.0361,kind-worker,False,0,[]
0.0381,kind-worker2,False,0,[]
0.0394,kind-worker3,False,0,[]
0.0409,kind-worker4,False,0,[]
0.0436,kind-worker5,False,0,[]
0.2465,kind-worker3,False,1,"[""x08""]"
0.2599,kind-worker3,False,1,"[""x08""]"
1.1452,kind-worker,False,1,"[""x02""]"
1.1613,kind-worker,False,1,"[""x02""]"
2.1367,kind-worker3,False,2,"[""x01"", ""x08""]"
2.1478,kind-worker3,False,2,"[""x01"", ""x08""]"
2.6481,kind-worker,True,1,"[""x02""]"
2.7342,kind-worker3,True,2,"[""x01"", ""x08""]"
2.7394,kind-worker,True,1,"[""x02""]"
2.9503,kind-worker3,True,2,"[""x01"", ""x08""]"
3.0814,kind-worker5,False,1,"[""x02""]"
3.0946,kind-worker5,False,1,"[""x02""]"
4.1066,kind-worker2,False,1,"[""x10""]"
4.1189,kind-worker2,False,1,"[""x10""]"
5.0988,kind-worker5,False,2,"[""x01"", ""x02""]"
5.1073,kind-worker5,False,2,"[""x01"", ""x02""]"
8.0882,kind-worker2,False,2,"[""x06"", ""x10""]"
8.0987,kind-worker2,False,2,"[""x06"", ""x10""]"
9.0827,kind-worker4,False,1,"[""x04""]"
9.0927,kind-worker4,False,1,"[""x04""]"
12.1127,kind-worker4,False,2,"[""x01"", ""x04""]"
12.1239,kind-worker4,False,2,"[""x01"", ""x04""]"
12.6732,kind-worker2,True,2,"[""x06"", ""x10""]"
12.6864,kind-worker2,True,2,"[""x06"", ""x10""]"
12.8765,kind-worker5,True,2,"[""x01"", ""x02""]"
12.8795,kind-worker4,True,2,"[""x01"", ""x04""]"
13.1739,kind-worker5,True,2,"[""x01"", ""x02""]"
13.1836,kind-worker4,True,2,"[""x01"", ""x04""]"
24.6892,kind-worker,True,0,[]
24.7426,kind-worker,False,0,[]
24.7542,kind-worker,False,0,[]
24.7731,kind-worker,False,1,"[""x06""]"
24.8041,kind-worker,False,2,"[""x06"", ""x10""]"
24.8317,kind-worker,False,2,"[""x06"", ""x10""]"
24.8549,kind-worker,False,2,"[""x06"", ""x10""]"
33.1434,kind-worker2,True,0,[]
33.1666,kind-worker2,False,0,[]
33.1782,kind-worker2,False,0,[]
33.1909,kind-worker2,False,0,[]
33.2525,kind-worker2,False,1,"[""x10""]"
33.2662,kind-worker2,False,1,"[""x10""]"
33.8549,kind-worker2,False,2,"[""x04"", ""x10""]"
33.8676,kind-worker2,False,2,"[""x04"", ""x10""]"
34.5395,kind-worker5,True,0,[]
34.6578,kind-worker5,True,0,[]
34.6677,kind-worker5,False,0,[]
34.788,kind-worker5,False,0,[]
34.803,kind-worker5,False,1,"[""x08""]"
34.8761,kind-worker3,True,0,[]
34.8825,kind-worker5,False,1,"[""x08""]"
34.9441,kind-worker5,False,2,"[""x02"", ""x08""]"
34.9755,kind-worker,True,2,"[""x06"", ""x10""]"
34.9842,kind-worker3,True,0,[]
35.0357,kind-worker3,False,0,[]
35.0656,kind-worker5,False,2,"[""x02"", ""x08""]"
35.075,kind-worker,True,2,"[""x06"", ""x10""]"
35.2451,kind-worker3,False,1,"[""x01""]"
35.4399,kind-worker3,False,1,"[""x01""]"
35.4587,kind-worker3,False,2,"[""x01"", ""x09""]"
35.4832,kind-worker3,False,2,"[""x01"", ""x09""]"
35.5334,kind-worker3,False,2,"[""x01"", ""x09""]"
35.5633,kind-worker3,False,3,"[""x01"", ""x02"", ""x09""]"
35.583,kind-worker3,False,3,"[""x01"", ""x02"", ""x09""]"
35.5918,kind-worker,True,2,"[""x06"", ""x10""]"
36.0952,kind-worker5,False,3,"[""x01"", ""x02"", ""x08""]"
36.1089,kind-worker5,False,3,"[""x01"", ""x02"", ""x08""]"
43.1922,kind-worker2,True,2,"[""x04"", ""x10""]"
43.2086,kind-worker2,True,2,"[""x04"", ""x10""]"
44.0763,kind-worker4,True,0,[]
44.0935,kind-worker4,False,0,[]
44.1044,kind-worker4,False,0,[]
44.1416,kind-worker4,False,1,"[""x05""]"
44.2183,kind-worker4,False,1,"[""x05""]"
44.2337,kind-worker4,False,1,"[""x05""]"
44.8435,kind-worker5,True,3,"[""x01"", ""x02"", ""x08""]"
44.8642,kind-worker5,True,3,"[""x01"", ""x02"", ""x08""]"
45.1662,kind-worker4,False,2,"[""x05"", ""x09""]"
45.2673,kind-worker3,True,3,"[""x01"", ""x02"", ""x09""]"
45.2706,kind-worker4,False,2,"[""x05"", ""x09""]"
45.2835,kind-worker3,True,3,"[""x01"", ""x02"", ""x09""]"
54.181,kind-worker4,True,2,"[""x05"", ""x09""]"
54.2033,kind-worker4,True,2,"[""x05"", ""x09""]"
55.9636,kind-worker,True,0,[]
55.9918,kind-worker,False,0,[]
56.0102,kind-worker,False,0,[]
56.03,kind-worker,False,1,"[""x03""]"
56.0725,kind-worker,False,1,"[""x03""]"
56.0874,kind-worker,False,1,"[""x03""]"
56.2008,kind-worker,False,2,"[""x01"", ""x03""]"
56.212,kind-worker,False,3,"[""x01"", ""x03"", ""x06""]"
56.2235,kind-worker,False,3,"[""x01"", ""x03"", ""x06""]"
56.2363,kind-worker,False,3,"[""x01"", ""x03"", ""x06""]"
56.3902,kind-worker,False,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
56.4247,kind-worker,False,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
60.0615,kind-control-plane,False,0,[]
60.073,kind-worker,False,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
60.0923,kind-worker2,True,2,"[""x04"", ""x10""]"
60.1577,kind-worker3,True,3,"[""x01"", ""x02"", ""x09""]"
60.1649,kind-worker4,True,2,"[""x05"", ""x09""]"
60.177,kind-worker5,True,3,"[""x01"", ""x02"", ""x08""]"
66.2793,kind-worker3,True,0,[]
66.2881,kind-worker,True,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
66.3073,kind-worker3,False,0,[]
66.3183,kind-worker3,False,0,[]
66.424,kind-worker,True,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
66.4804,kind-worker3,False,1,"[""x02""]"
66.4975,kind-worker3,False,2,"[""x02"", ""x08""]"
66.8459,kind-worker3,False,2,"[""x02"", ""x08""]"
66.9111,kind-worker3,False,2,"[""x02"", ""x08""]"
71.1055,kind-worker3,False,3,"[""x01"", ""x02"", ""x08""]"
71.1214,kind-worker3,False,3,"[""x01"", ""x02"", ""x08""]"
73.8977,kind-worker2,True,0,[]
73.9165,kind-worker2,True,0,[]
73.9255,kind-worker2,False,0,[]
74.0889,kind-worker2,False,0,[]
74.107,kind-worker2,False,1,"[""x07""]"
74.1244,kind-worker2,False,1,"[""x07""]"
74.2862,kind-worker2,False,2,"[""x01"", ""x07""]"
74.3023,kind-worker2,False,2,"[""x01"", ""x07""]"
74.3157,kind-worker2,False,3,"[""x01"", ""x03"", ""x07""]"
74.329,kind-worker2,False,3,"[""x01"", ""x03"", ""x07""]"
74.6792,kind-worker4,True,0,[]
74.7664,kind-worker4,True,0,[]
74.7752,kind-worker4,False,0,[]
74.7934,kind-worker4,False,0,[]
74.8302,kind-worker4,False,1,"[""x10""]"
74.8735,kind-worker4,False,1,"[""x10""]"
74.9409,kind-worker4,False,2,"[""x05"", ""x10""]"
74.9525,kind-worker4,False,2,"[""x05"", ""x10""]"
75.6291,kind-worker5,True,0,[]
75.6475,kind-worker5,False,0,[]
75.658,kind-worker5,False,0,[]
75.7268,kind-worker5,False,0,[]
75.835,kind-worker5,False,1,"[""x04""]"
75.8461,kind-worker5,False,1,"[""x04""]"
75.9426,kind-worker5,False,2,"[""x04"", ""x09""]"
75.9541,kind-worker5,False,2,"[""x04"", ""x09""]"
76.7907,kind-worker3,True,3,"[""x01"", ""x02"", ""x08""]"
77.0655,kind-worker3,True,3,"[""x01"", ""x02"", ""x08""]"
81.1584,kind-worker5,False,3,"[""x01"", ""x04"", ""x09""]"
81.1788,kind-worker5,False,3,"[""x01"", ""x04"", ""x09""]"
83.9904,kind-worker2,True,3,"[""x01"", ""x03"", ""x07""]"
84.0661,kind-worker2,True,3,"[""x01"", ""x03"", ""x07""]"
84.807,kind-worker4,True,2,"[""x05"", ""x10""]"
84.8308,kind-worker4,True,2,"[""x05"", ""x10""]"
85.7491,kind-worker5,True,3,"[""x01"", ""x04"", ""x09""]"
85.7673,kind-worker5,True,3,"[""x01"", ""x04"", ""x09""]"
87.4328,kind-worker,True,0,[]
87.5083,kind-worker,False,0,[]
87.5234,kind-worker,False,0,[]
87.5563,kind-worker,False,1,"[""x06""]"
87.5927,kind-worker,False,2,"[""x06"", ""x08""]"
87.6782,kind-worker,False,2,"[""x06"", ""x08""]"
87.9788,kind-worker,False,2,"[""x06"", ""x08""]"
90.2893,kind-worker,False,3,"[""x01"", ""x06"", ""x08""]"
90.3056,kind-worker,False,3,"[""x01"", ""x06"", ""x08""]"
97.5917,kind-worker,True,3,"[""x01"", ""x06"", ""x08""]"
97.6785,kind-worker,True,3,"[""x01"", ""x06"", ""x08""]"
98.3375,kind-worker3,True,0,[]
98.3649,kind-worker3,True,0,[]
98.378,kind-worker3,False,0,[]
98.4008,kind-worker3,False,0,[]
98.5424,kind-worker3,False,1,"[""x10""]"
98.5484,kind-worker3,False,2,"[""x05"", ""x10""]"
98.5589,kind-worker3,False,2,"[""x05"", ""x10""]"
98.5715,kind-worker3,False,2,"[""x05"", ""x10""]"
105.5667,kind-worker4,True,0,[]
105.5874,kind-worker4,True,0,[]
105.6017,kind-worker4,False,0,[]
105.6816,kind-worker4,False,0,[]
105.7042,kind-worker4,False,1,"[""x09""]"
105.7204,kind-worker4,False,1,"[""x09""]"
105.8171,kind-worker4,False,2,"[""x03"", ""x09""]"
105.8295,kind-worker4,False,2,"[""x03"", ""x09""]"
106.644,kind-worker5,True,0,[]
106.7265,kind-worker5,False,0,[]
106.738,kind-worker5,False,0,[]
106.7527,kind-worker5,False,0,[]
106.8913,kind-worker5,False,1,"[""x08""]"
106.8991,kind-worker5,False,1,"[""x08""]"
106.9503,kind-worker5,False,2,"[""x07"", ""x08""]"
106.9634,kind-worker5,False,2,"[""x07"", ""x08""]"
108.4884,kind-worker3,True,2,"[""x05"", ""x10""]"
108.5035,kind-worker3,True,2,"[""x05"", ""x10""]"
110.2448,kind-worker5,False,3,"[""x06"", ""x07"", ""x08""]"
110.2631,kind-worker5,False,3,"[""x06"", ""x07"", ""x08""]"
114.7179,kind-worker2,True,0,[]
114.7671,kind-worker2,True,0,[]
114.7796,kind-worker2,False,0,[]
114.7952,kind-worker2,False,0,[]
114.8393,kind-worker2,False,1,"[""x02""]"
114.9282,kind-worker2,False,1,"[""x02""]"
115.4407,kind-worker3,True,2,"[""x05"", ""x10""]"
115.6359,kind-worker4,True,2,"[""x03"", ""x09""]"
115.6548,kind-worker4,True,2,"[""x03"", ""x09""]"
116.8121,kind-worker5,True,3,"[""x06"", ""x07"", ""x08""]"
116.8288,kind-worker5,True,3,"[""x06"", ""x07"", ""x08""]"
117.0918,kind-worker2,False,2,"[""x02"", ""x08""]"
117.101,kind-worker2,False,2,"[""x02"", ""x08""]"
118.6815,kind-worker,True,0,[]
118.7756,kind-worker,False,0,[]
118.7874,kind-worker,False,0,[]
118.8128,kind-worker,False,1,"[""x04""]"
118.9401,kind-worker,False,2,"[""x04"", ""x10""]"
119.0718,kind-worker,False,2,"[""x04"", ""x10""]"
119.0873,kind-worker,False,2,"[""x04"", ""x10""]"
120.0705,kind-control-plane,False,0,[]
120.0811,kind-worker,False,2,"[""x04"", ""x10""]"
120.0893,kind-worker2,False,2,"[""x02"", ""x08""]"
120.0939,kind-worker3,True,2,"[""x05"", ""x10""]"
120.1015,kind-worker4,True,2,"[""x03"", ""x09""]"
120.1032,kind-worker5,True,3,"[""x06"", ""x07"", ""x08""]"
122.1099,kind-worker2,False,3,"[""x01"", ""x02"", ""x08""]"
122.1232,kind-worker2,False,3,"[""x01"", ""x02"", ""x08""]"
124.8649,kind-worker2,True,3,"[""x01"", ""x02"", ""x08""]"
124.8876,kind-worker2,True,3,"[""x01"", ""x02"", ""x08""]"
129.1224,kind-worker,True,2,"[""x04"", ""x10""]"
129.6084,kind-worker,True,2,"[""x04"", ""x10""]"
136.0119,kind-worker4,True,2,"[""x03"", ""x09""]"
139.5539,kind-worker3,True,0,[]
139.5742,kind-worker3,True,0,[]
139.6816,kind-worker3,False,0,[]
139.7032,kind-worker3,False,1,"[""x05""]"
139.7223,kind-worker3,False,1,"[""x05""]"
139.8639,kind-worker3,False,2,"[""x05"", ""x09""]"
140.0683,kind-worker3,False,2,"[""x05"", ""x09""]"
140.0846,kind-worker3,False,2,"[""x05"", ""x09""]"
146.7811,kind-worker4,True,0,[]
146.8047,kind-worker4,False,0,[]
146.8267,kind-worker4,False,0,[]
146.8437,kind-worker4,False,1,"[""x08""]"
146.8693,kind-worker4,False,1,"[""x08""]"
147.0131,kind-worker4,False,1,"[""x08""]"
147.0352,kind-worker4,False,2,"[""x02"", ""x08""]"
147.0498,kind-worker4,False,2,"[""x02"", ""x08""]"
147.6312,kind-worker5,True,0,[]
147.6519,kind-worker5,True,0,[]
147.6619,kind-worker5,False,0,[]
147.7461,kind-worker5,False,0,[]
147.7787,kind-worker5,False,1,"[""x07""]"
147.7905,kind-worker5,False,1,"[""x07""]"
147.9408,kind-worker5,False,2,"[""x06"", ""x07""]"
147.9557,kind-worker5,False,2,"[""x06"", ""x07""]"
148.1393,kind-worker5,False,3,"[""x06"", ""x07"", ""x10""]"
148.1557,kind-worker5,False,3,"[""x06"", ""x07"", ""x10""]"
149.7245,kind-worker3,True,2,"[""x05"", ""x09""]"
149.7415,kind-worker3,True,2,"[""x05"", ""x09""]"
150.4727,kind-worker,True,0,[]
150.5344,kind-worker,True,0,[]
150.5619,kind-worker,False,0,[]
150.6262,kind-worker,False,0,[]
150.7174,kind-worker,False,1,"[""x03""]"
150.7325,kind-worker,False,1,"[""x03""]"
151.2567,kind-worker,False,2,"[""x01"", ""x03""]"
151.275,kind-worker,False,2,"[""x01"", ""x03""]"
152.147,kind-worker,False,3,"[""x01"", ""x03"", ""x06""]"
152.1625,kind-worker,False,3,"[""x01"", ""x03"", ""x06""]"
153.2533,kind-worker,False,4,"[""x01"", ""x03"", ""x06"", ""x09""]"
153.2643,kind-worker,False,4,"[""x01"", ""x03"", ""x06"", ""x09""]"
155.6682,kind-worker2,True,0,[]
155.6852,kind-worker2,True,0,[]
155.698,kind-worker2,False,0,[]
155.7683,kind-worker2,False,0,[]
155.8436,kind-worker2,False,1,"[""x04""]"
155.8642,kind-worker2,False,1,"[""x04""]"
156.3451,kind-worker2,False,2,"[""x04"", ""x09""]"
156.3621,kind-worker2,False,2,"[""x04"", ""x09""]"
156.9129,kind-worker4,True,2,"[""x02"", ""x08""]"
156.9278,kind-worker4,True,2,"[""x02"", ""x08""]"
