task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-sanitize-60-r3-000,issuer10,x10,2,"[""d10""]",3,0.0,0.0036,0.0586,0.0036,0.055,201,True,0.062,0.0875,24.4856,nan,eval-sanitize-60-r3-000,0.0823,0.0237,eval-sanitize-60-r3-000-g6rf6,0.0918,0.0094,0.1118,0.02,kind-worker5,0.1082,0,0,0,0,0,0,none,False,nan,nan,,1.526,22.6025,nan,1.4142,21.0765,22.5989,Succeeded,Complete,False
1,eval-sanitize-60-r3-001,issuer5,x05,6,"[""d05""]",3,1.0,1.0066,1.0232,0.0066,0.0167,201,True,1.0292,1.0516,25.1667,nan,eval-sanitize-60-r3-001,1.0468,0.0236,eval-sanitize-60-r3-001-dbqqm,1.0575,0.0106,1.0753,0.0178,kind-worker,0.0687,0,0,0,0,0,0,none,False,nan,nan,,2.0813,23.2546,nan,1.0061,21.1733,22.248,Succeeded,Complete,False
2,eval-sanitize-60-r3-002,issuer6,x06,6,"[""d06""]",3,2.0,2.0012,2.0186,0.0012,0.0175,201,True,2.023,2.0436,26.492,nan,eval-sanitize-60-r3-002,2.0383,0.0197,eval-sanitize-60-r3-002-lvvwl,2.0469,0.0086,2.0645,0.0177,kind-worker5,0.0634,0,0,0,0,0,0,none,False,nan,nan,,3.4072,24.5816,nan,1.3427,21.1744,22.5805,Succeeded,Complete,False
3,eval-sanitize-60-r3-003,issuer9,x09,8,"[""d09""]",3,3.0,3.0005,3.0135,0.0005,0.013,201,True,3.0172,3.039,27.2258,nan,eval-sanitize-60-r3-003,3.0341,0.0206,eval-sanitize-60-r3-003-ct4ld,3.0424,0.0082,3.0575,0.0151,kind-worker4,0.057,0,0,0,0,0,0,none,False,nan,nan,,4.1902,25.2728,nan,1.1328,21.0825,22.2722,Succeeded,Complete,False
4,eval-sanitize-60-r3-004,issuer1,x01,3,"[""d01""]",3,4.0,4.0002,4.0128,0.0002,0.0126,201,True,4.0181,4.0508,27.9012,nan,eval-sanitize-60-r3-004,4.0369,0.0242,eval-sanitize-60-r3-004-dq2bh,4.0467,0.0097,4.0702,0.0235,kind-worker2,0.07,0,0,0,0,0,0,none,False,nan,nan,,4.7953,26.013,nan,0.7251,21.2177,22.0128,Succeeded,Complete,False
5,eval-sanitize-60-r3-005,issuer8,x08,5,"[""d08""]",3,5.0,5.0005,5.0169,0.0005,0.0164,201,True,5.0608,5.0856,29.6158,nan,eval-sanitize-60-r3-005,5.0769,0.06,eval-sanitize-60-r3-005-pgq68,5.0836,0.0067,5.1118,0.0283,kind-worker3,0.1113,0,0,0,0,0,0,none,False,nan,nan,,6.5347,27.774,nan,1.4228,21.2393,22.7734,Succeeded,Complete,False
6,eval-sanitize-60-r3-006,issuer4,x04,3,"[""d04""]",3,6.0,6.0003,6.0149,0.0003,0.0146,201,True,6.0204,6.0424,30.5048,nan,eval-sanitize-60-r3-006,6.0366,0.0217,eval-sanitize-60-r3-006-q79cg,6.0438,0.0072,6.1492,0.1053,kind-worker5,0.1489,0,0,0,0,0,0,none,False,nan,nan,,7.4152,28.5853,nan,1.266,21.1701,22.585,Succeeded,Complete,False
7,eval-sanitize-60-r3-007,issuer1,x01,3,"[""d01""]",3,7.0,7.0003,7.0614,0.0003,0.0611,201,True,7.0662,7.0882,31.1793,nan,eval-sanitize-60-r3-007,7.0834,0.022,eval-sanitize-60-r3-007-w8jmq,7.0915,0.0081,7.2005,0.109,kind-worker,0.2002,0,0,0,0,0,0,none,False,nan,nan,,8.0875,29.3291,nan,0.8871,21.2415,22.3288,Succeeded,Complete,False
8,eval-sanitize-60-r3-008,issuer3,x03,5,"[""d03""]",3,8.0,8.0002,8.0296,0.0002,0.0294,201,True,8.0335,8.0581,31.902,nan,eval-sanitize-60-r3-008,8.0499,0.0203,eval-sanitize-60-r3-008-2sbzq,8.0569,0.007,8.1245,0.0677,kind-worker2,0.1243,0,0,0,0,0,0,none,False,nan,nan,,9.8283,29.9609,nan,1.7037,20.1326,21.9606,Succeeded,Complete,False
9,eval-sanitize-60-r3-009,issuer2,x02,3,"[""d02""]",3,9.0,9.0001,9.034,0.0001,0.0339,201,True,9.0379,9.0593,33.1843,nan,eval-sanitize-60-r3-009,9.0556,0.0216,eval-sanitize-60-r3-009-vfxlw,9.0626,0.007,9.1219,0.0593,kind-worker,0.1219,0,0,0,0,0,0,none,False,nan,nan,,10.1959,31.2805,nan,1.074,21.0846,22.2805,Succeeded,Complete,False
10,eval-sanitize-60-r3-010,issuer6,x06,6,"[""d06""]",3,10.0,10.0001,10.0085,0.0001,0.0084,201,True,10.0123,10.0349,34.5115,nan,eval-sanitize-60-r3-010,10.03,0.0215,eval-sanitize-60-r3-010-79sz9,10.0368,0.0068,10.1899,0.1531,kind-worker5,0.1899,0,0,0,0,0,0,none,False,nan,nan,,11.4482,32.6812,nan,1.2583,21.2329,22.6811,Succeeded,Complete,False
11,eval-sanitize-60-r3-011,issuer8,x08,5,"[""d08""]",3,11.0,11.0006,11.0094,0.0006,0.0089,201,True,11.0149,11.0384,35.6411,nan,eval-sanitize-60-r3-011,11.0298,0.0203,eval-sanitize-60-r3-011-24hb8,11.038,0.0082,11.1294,0.0914,kind-worker3,0.1289,0,0,0,0,0,0,none,False,nan,nan,,12.5464,33.7538,nan,1.417,21.2074,22.7533,Succeeded,Complete,False
12,eval-sanitize-60-r3-012,issuer4,x04,3,"[""d04""]",3,12.0,12.0004,12.0097,0.0004,0.0093,201,True,12.0136,12.0367,35.9108,nan,eval-sanitize-60-r3-012,12.031,0.0213,eval-sanitize-60-r3-012-wx48v,12.0392,0.0082,12.121,0.0818,kind-worker2,0.1206,0,0,0,0,0,0,none,False,nan,nan,,12.8289,33.9884,nan,0.7078,21.1596,21.988,Succeeded,Complete,False
13,eval-sanitize-60-r3-013,issuer7,x07,5,"[""d07""]",3,13.0,13.0002,13.0584,0.0002,0.0582,201,True,13.0632,13.0873,37.2495,nan,eval-sanitize-60-r3-013,13.0785,0.0201,eval-sanitize-60-r3-013-9gtbj,13.0859,0.0074,13.1211,0.0352,kind-worker4,0.1209,0,0,0,0,0,0,none,False,nan,nan,,14.1631,35.3385,nan,1.0419,21.1755,22.3384,Succeeded,Complete,False
14,eval-sanitize-60-r3-014,issuer9,x09,8,"[""d09""]",3,14.0,14.0002,14.0094,0.0002,0.0092,201,True,14.0133,14.0373,38.2503,nan,eval-sanitize-60-r3-014,14.0316,0.0222,eval-sanitize-60-r3-014-5f7ps,14.0437,0.0121,14.1228,0.0791,kind-worker4,0.1226,0,0,0,0,0,0,none,False,nan,nan,,15.2206,36.3093,nan,1.0979,21.0887,22.3091,Succeeded,Complete,False
15,eval-sanitize-60-r3-015,issuer2,x02,3,"[""d02""]",3,15.0,15.0005,15.041,0.0005,0.0405,201,True,15.0452,15.0687,39.6413,nan,eval-sanitize-60-r3-015,15.0624,0.0214,eval-sanitize-60-r3-015-xt5fm,15.0725,0.0101,15.1025,0.03,kind-worker3,0.1021,0,0,0,0,0,0,none,False,nan,nan,,16.5548,37.7284,nan,1.4523,21.1736,22.728,Succeeded,Complete,False
16,eval-sanitize-60-r3-016,issuer10,x10,2,"[""d10""]",3,16.0,16.0004,16.087,0.0004,0.0865,201,True,16.0906,16.1122,39.9447,nan,eval-sanitize-60-r3-016,16.1075,0.0206,eval-sanitize-60-r3-016-75pxv,16.1156,0.0081,16.2211,0.1054,kind-worker2,0.2206,0,0,0,0,0,0,none,False,nan,nan,,16.825,38.0299,nan,0.604,21.2049,22.0295,Succeeded,Complete,False
17,eval-sanitize-60-r3-017,issuer4,x04,3,"[""d04""]",3,17.0,17.0003,17.0097,0.0003,0.0094,201,True,17.0669,17.089,40.9619,nan,eval-sanitize-60-r3-017,17.0825,0.0728,eval-sanitize-60-r3-017-79p9l,17.0887,0.0062,17.1186,0.0299,kind-worker2,0.1182,0,0,0,0,0,0,none,False,nan,nan,,17.8299,38.9883,nan,0.7113,21.1585,21.988,Succeeded,Complete,False
18,eval-sanitize-60-r3-018,issuer1,x01,3,"[""d01""]",3,18.0,18.0001,18.0083,0.0001,0.0081,201,True,18.0119,18.0323,42.233,nan,eval-sanitize-60-r3-018,18.0282,0.0199,eval-sanitize-60-r3-018-4wq9k,18.0352,0.007,18.1188,0.0836,kind-worker,0.1186,0,0,0,0,0,0,none,False,nan,nan,,19.112,40.2687,nan,0.9932,21.1567,22.2686,Succeeded,Complete,False
19,eval-sanitize-60-r3-019,issuer4,x04,3,"[""d04""]",3,19.0,19.0004,19.0125,0.0004,0.0121,201,True,19.0163,19.0421,43.6691,nan,eval-sanitize-60-r3-019,19.0334,0.0208,eval-sanitize-60-r3-019-wv6gx,19.0397,0.0063,19.1187,0.079,kind-worker3,0.1183,0,0,0,0,0,0,none,False,nan,nan,,20.5653,41.7487,nan,1.4466,21.1835,22.7483,Succeeded,Complete,False
20,eval-sanitize-60-r3-020,issuer7,x07,5,"[""d07""]",3,20.0,20.0006,20.008,0.0006,0.0074,201,True,20.0117,20.0367,44.2936,nan,eval-sanitize-60-r3-020,20.0293,0.0213,eval-sanitize-60-r3-020-8jh7q,20.0365,0.0072,20.2264,0.1899,kind-worker4,0.2257,0,0,0,0,0,0,none,False,nan,nan,,21.1763,42.3147,nan,0.9499,21.1384,22.3141,Succeeded,Complete,False
