t_recv,kind,type,name,detail
0.059,TaskRequest,ADDED,eval-sanitize-60-r3-000,phase=None job=None
0.0604,Node,ADDED,kind-control-plane,taints=1
0.0619,Node,ADDED,kind-worker,taints=0
0.062,TaskRequest,MODIFIED,eval-sanitize-60-r3-000,phase=Pending job=None
0.0633,Node,ADDED,kind-worker2,taints=0
0.0646,Node,ADDED,kind-worker3,taints=0
0.0664,Node,ADDED,kind-worker4,taints=0
0.0676,Node,ADDED,kind-worker5,taints=0
0.0823,Job,ADDED,eval-sanitize-60-r3-000,
0.0875,TaskRequest,MODIFIED,eval-sanitize-60-r3-000,phase=Scheduled job=None
0.0918,Pod,ADDED,eval-sanitize-60-r3-000-g6rf6,phase=Pending node=None
0.0945,Event,ADDED,eval-image-prepull-49b8d.18d5067fcccc1073,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-49b8d to kind-worker5
0.0955,Event,ADDED,eval-image-prepull-49b8d.18d5067fed52caf9,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0961,Event,ADDED,eval-image-prepull-49b8d.18d5067fefe68878,reason=Created count=1 msg=Created container: pause
0.0966,Event,ADDED,eval-image-prepull-49b8d.18d5067ff3c02c13,reason=Started count=1 msg=Started container pause
0.0968,Event,ADDED,eval-image-prepull-49b8d.18d5068042c5f358,reason=Killing count=1 msg=Stopping container pause
0.0973,Event,ADDED,eval-image-prepull-dggxh.18d5067fcc2e7aa2,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-dggxh to kind-worker3
0.0975,Event,ADDED,eval-image-prepull-dggxh.18d5067fed42ba3c,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0977,Event,ADDED,eval-image-prepull-dggxh.18d5067fefc1eb30,reason=Created count=1 msg=Created container: pause
0.0979,Event,ADDED,eval-image-prepull-dggxh.18d5067ff32d35cb,reason=Started count=1 msg=Started container pause
0.099,Job,MODIFIED,eval-sanitize-60-r3-000,
0.0995,Event,ADDED,eval-image-prepull-dggxh.18d5068039669fd1,reason=Killing count=1 msg=Stopping container pause
0.1001,Event,ADDED,eval-image-prepull-lbzm2.18d5067fcc1d8169,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-lbzm2 to kind-worker
0.1006,Event,ADDED,eval-image-prepull-lbzm2.18d5067fed513249,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.1007,TaskRequest,MODIFIED,eval-sanitize-60-r3-000,phase=Scheduled job=None
0.1011,Event,ADDED,eval-image-prepull-lbzm2.18d5067ff01bdc54,reason=Created count=1 msg=Created container: pause
0.1013,Event,ADDED,eval-image-prepull-lbzm2.18d5067ff3c05d73,reason=Started count=1 msg=Started container pause
0.1015,Event,ADDED,eval-image-prepull-lbzm2.18d50680a2360804,reason=Killing count=1 msg=Stopping container pause
0.1017,Event,ADDED,eval-image-prepull-lqpgp.18d5067fcccae194,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-lqpgp to kind-worker2
