task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-sanitize-5-r2-000,issuer9,x09,3,"[""d09""]",2,0.0,0.0028,0.0662,0.0028,0.0634,201,True,0.0705,0.0909,24.0704,nan,eval-sanitize-5-r2-000,0.0865,0.0204,eval-sanitize-5-r2-000-dzvj9,0.0969,0.0103,0.1096,0.0127,kind-worker,0.1068,0,0,0,0,0,0,none,False,nan,nan,,1.0318,22.227,nan,0.9223,21.1952,22.2242,Succeeded,Complete,False
1,eval-sanitize-5-r2-001,issuer8,x08,5,"[""d08""]",2,1.0,1.029,1.0443,0.029,0.0153,201,True,1.0484,1.0741,25.1462,nan,eval-sanitize-5-r2-001,1.0686,0.0243,eval-sanitize-5-r2-001-t2jl9,1.0798,0.0112,1.0941,0.0144,kind-worker3,0.0651,0,0,0,0,0,0,none,False,nan,nan,,1.9688,23.1454,nan,0.8746,21.1766,22.1163,Succeeded,Complete,False
2,eval-sanitize-5-r2-002,issuer8,x08,5,"[""d08""]",2,2.0,2.0036,2.0238,0.0036,0.0202,201,True,2.027,2.0508,25.9072,nan,eval-sanitize-5-r2-002,2.0439,0.0201,eval-sanitize-5-r2-002-cvvlw,2.0496,0.0057,2.0658,0.0162,kind-worker5,0.0622,0,0,0,0,0,0,none,False,nan,nan,,2.8408,23.9598,nan,0.775,21.119,21.9561,Succeeded,Complete,False
3,eval-sanitize-5-r2-003,issuer5,x05,7,"[""d05""]",2,3.0,3.0007,3.0159,0.0007,0.0153,201,True,3.0191,3.0412,26.1003,nan,eval-sanitize-5-r2-003,3.0366,0.0207,eval-sanitize-5-r2-003-gc4c7,3.0457,0.0091,3.0629,0.0172,kind-worker,0.0622,0,0,0,0,0,0,none,False,nan,nan,,4.199,25.1166,nan,1.1361,20.9176,22.1159,Succeeded,Complete,False
4,eval-sanitize-5-r2-004,issuer9,x09,3,"[""d09""]",2,4.0,4.001,4.1966,0.001,0.1957,201,True,4.199,4.1998,28.0915,nan,eval-sanitize-5-r2-004,4.1998,0.0032,eval-sanitize-5-r2-004-tjm65,4.2012,0.0015,4.2072,0.006,kind-worker2,0.2063,0,0,0,0,0,0,none,False,nan,nan,,4.9432,26.1266,nan,0.736,21.1834,22.1256,Succeeded,Complete,False
5,eval-sanitize-5-r2-005,issuer6,x06,3,"[""d06""]",2,5.0,5.0022,5.082,0.0022,0.0799,201,True,5.0877,5.1097,29.0862,nan,eval-sanitize-5-r2-005,5.1027,0.0207,eval-sanitize-5-r2-005-75s9f,5.1095,0.0068,5.1222,0.0127,kind-worker2,0.12,0,0,0,0,0,0,none,False,nan,nan,,5.947,27.1647,nan,0.8248,21.2177,22.1625,Succeeded,Complete,False
6,eval-sanitize-5-r2-006,issuer9,x09,3,"[""d09""]",2,6.0,6.0002,6.0085,0.0002,0.0083,201,True,6.0127,6.0372,30.2449,nan,eval-sanitize-5-r2-006,6.0304,0.0219,eval-sanitize-5-r2-006-fxh2x,6.0363,0.0059,6.0498,0.0135,kind-worker2,0.0496,0,0,0,0,0,0,none,False,nan,nan,,6.9638,28.1883,nan,0.914,21.2245,22.1881,Succeeded,Complete,False
7,eval-sanitize-5-r2-007,issuer2,x02,6,"[""d02""]",2,7.0,7.0001,7.0123,0.0001,0.0122,201,True,7.0169,7.1801,31.0065,nan,eval-sanitize-5-r2-007,7.0305,0.0182,eval-sanitize-5-r2-007-n8tss,7.0375,0.007,7.0433,0.0058,kind-worker4,0.0432,0,0,0,0,0,0,none,False,nan,nan,,7.7911,28.9437,nan,0.7479,21.1526,21.9436,Succeeded,Complete,False
8,eval-sanitize-5-r2-008,issuer9,x09,3,"[""d09""]",2,8.0,8.0002,8.1136,0.0002,0.1133,201,True,8.1177,8.138,31.9231,nan,eval-sanitize-5-r2-008,8.1336,0.02,eval-sanitize-5-r2-008-zm6rz,8.1425,0.0089,8.1514,0.0088,kind-worker4,0.1512,0,0,0,0,0,0,none,False,nan,nan,,9.7645,29.9883,nan,1.6131,20.2237,21.988,Succeeded,Complete,False
9,eval-sanitize-5-r2-009,issuer7,x07,4,"[""d07""]",2,9.0,9.0001,9.013,0.0001,0.0129,201,True,9.0173,9.0715,47.9759,nan,eval-sanitize-5-r2-009,9.0642,0.0512,eval-sanitize-5-r2-009-4ngzx,9.0713,0.0071,24.2909,15.2196,kind-worker5,15.2908,3,3,3,0,1,5,mixed,True,9.0801,15.2108,"0/6 nodes are available: 1 c_wall violated: 2 conflicting context pair(s) with node memory, 5 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 1 No preemption victims found for incoming pod, 5 Preemption is not helpful for scheduling.",24.873,46.0614,nan,0.5821,21.1884,37.0613,Succeeded,Complete,False
