task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-sanitize-1-r3-000,issuer5,x05,7,"[""d05""]",3,0.0,0.0035,0.0453,0.0035,0.0418,201,True,0.0524,0.0735,13.8259,nan,eval-sanitize-1-r3-000,0.0693,0.0239,eval-sanitize-1-r3-000-l5wxb,0.0795,0.0102,0.0963,0.0168,kind-worker2,0.0928,0,0,0,0,0,0,none,False,nan,nan,,0.7665,11.9156,nan,0.6702,11.1491,11.9121,Succeeded,Complete,False
1,eval-sanitize-1-r3-001,issuer7,x07,5,"[""d07""]",3,1.0,1.0003,1.0128,0.0003,0.0126,201,True,1.0179,1.036,14.7244,nan,eval-sanitize-1-r3-001,1.0314,0.0186,eval-sanitize-1-r3-001-h7wvx,1.0385,0.0071,1.0471,0.0086,kind-worker,0.0468,0,0,0,0,0,0,none,False,nan,nan,,1.6665,12.7878,nan,0.6195,11.1212,11.7875,Succeeded,Complete,False
2,eval-sanitize-1-r3-002,issuer8,x08,4,"[""d08""]",3,2.0,2.0003,2.0124,0.0003,0.0121,201,True,2.0163,2.037,15.9699,nan,eval-sanitize-1-r3-002,2.0325,0.0201,eval-sanitize-1-r3-002-jvxnr,2.0401,0.0077,2.0493,0.0091,kind-worker4,0.0489,0,0,0,0,0,0,none,False,nan,nan,,2.9231,14.0191,nan,0.8738,11.096,12.0187,Succeeded,Complete,False
3,eval-sanitize-1-r3-003,issuer5,x05,7,"[""d05""]",3,3.0,3.0001,3.0065,0.0001,0.0064,201,True,3.0111,3.0327,16.9779,nan,eval-sanitize-1-r3-003,3.0252,0.0187,eval-sanitize-1-r3-003-k6z7b,3.0318,0.0066,3.0406,0.0088,kind-worker5,0.0405,0,0,0,0,0,0,none,False,nan,nan,,3.9117,15.0225,nan,0.8711,11.1107,12.0224,Succeeded,Complete,False
4,eval-sanitize-1-r3-004,issuer2,x02,5,"[""d02""]",3,4.0,4.0005,4.0136,0.0005,0.0131,201,True,4.0188,4.0372,17.9854,nan,eval-sanitize-1-r3-004,4.0332,0.0197,eval-sanitize-1-r3-004-zlxpg,4.04,0.0068,4.0478,0.0078,kind-worker3,0.0473,0,0,0,0,0,0,none,False,nan,nan,,4.9229,16.0697,nan,0.8751,11.1468,12.0692,Succeeded,Complete,False
5,eval-sanitize-1-r3-005,issuer5,x05,7,"[""d05""]",3,5.0,5.0002,5.021,0.0002,0.0208,201,True,5.0248,5.0461,25.868,nan,eval-sanitize-1-r3-005,5.039,0.018,eval-sanitize-1-r3-005-lb79c,5.0477,0.0087,12.0174,6.9697,kind-worker2,7.0172,1,0,1,0,0,6,taint,True,5.0535,6.9639,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",12.8082,24.1601,nan,0.7907,11.3519,19.1598,Succeeded,Complete,False
6,eval-sanitize-1-r3-006,issuer6,x06,5,"[""d06""]",3,6.0,6.0003,6.0156,0.0003,0.0154,201,True,6.0201,6.0417,25.8634,nan,eval-sanitize-1-r3-006,6.0373,0.0216,eval-sanitize-1-r3-006-5hmbt,6.0447,0.0075,12.0272,5.9825,kind-worker2,6.0269,1,0,1,0,0,6,taint,True,6.0513,5.9759,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",12.7936,24.0483,nan,0.7664,11.2547,18.048,Succeeded,Complete,False
7,eval-sanitize-1-r3-007,issuer1,x01,2,"[""d01""]",3,7.0,7.0003,7.0129,0.0003,0.0126,201,True,7.0177,7.0381,27.7893,nan,eval-sanitize-1-r3-007,7.0324,0.0195,eval-sanitize-1-r3-007-krghl,7.0399,0.0075,13.0897,6.0498,kind-worker,6.0894,4,3,4,0,0,6,mixed,True,7.0473,6.0424,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",14.7003,25.9474,nan,1.6106,11.2471,18.9472,Succeeded,Complete,False
8,eval-sanitize-1-r3-008,issuer2,x02,5,"[""d02""]",3,8.0,8.0003,8.0135,0.0003,0.0132,201,True,8.0184,8.0391,27.795,nan,eval-sanitize-1-r3-008,8.0318,0.0183,eval-sanitize-1-r3-008-ckhd4,8.0378,0.006,13.0938,5.0561,kind-worker,5.0936,4,3,4,0,0,6,mixed,True,8.0448,5.0491,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",14.7113,25.9033,nan,1.6175,11.1919,17.903,Succeeded,Complete,False
9,eval-sanitize-1-r3-009,issuer8,x08,4,"[""d08""]",3,9.0,9.0005,9.015,0.0005,0.0145,201,True,9.0188,9.0378,26.7749,nan,eval-sanitize-1-r3-009,9.034,0.019,eval-sanitize-1-r3-009-2ln5s,9.0406,0.0065,12.9865,3.9459,kind-worker,3.9859,4,3,4,0,0,6,mixed,True,9.0468,3.9397,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",13.696,24.945,nan,0.7095,11.2489,15.9444,Succeeded,Complete,False
