t_recv,node,sanitizing,lambda_size,lambda
0.023,kind-control-plane,False,0,[]
0.0247,kind-worker,False,0,[]
0.0261,kind-worker2,False,0,[]
0.0273,kind-worker3,False,0,[]
0.0283,kind-worker4,False,0,[]
0.0295,kind-worker5,False,0,[]
0.1082,kind-worker2,False,1,"[""x10""]"
0.1218,kind-worker2,False,1,"[""x10""]"
1.0683,kind-worker4,False,1,"[""x01""]"
1.0788,kind-worker4,False,1,"[""x01""]"
2.0684,kind-worker,False,1,"[""x07""]"
2.0794,kind-worker,False,1,"[""x07""]"
2.448,kind-worker2,True,1,"[""x10""]"
2.46,kind-worker2,True,1,"[""x10""]"
2.6022,kind-worker,True,1,"[""x07""]"
2.6495,kind-worker4,True,1,"[""x01""]"
2.6514,kind-worker,True,1,"[""x07""]"
2.7526,kind-worker4,True,1,"[""x01""]"
3.0602,kind-worker5,False,1,"[""x08""]"
3.0718,kind-worker5,False,1,"[""x08""]"
4.0693,kind-worker3,False,1,"[""x10""]"
4.0792,kind-worker3,False,1,"[""x10""]"
6.0727,kind-worker5,False,2,"[""x04"", ""x08""]"
6.0858,kind-worker5,False,2,"[""x04"", ""x08""]"
7.07,kind-worker3,False,2,"[""x08"", ""x10""]"
7.0794,kind-worker3,False,2,"[""x08"", ""x10""]"
7.6185,kind-worker3,True,2,"[""x08"", ""x10""]"
7.62,kind-worker5,True,2,"[""x04"", ""x08""]"
7.7058,kind-worker3,True,2,"[""x08"", ""x10""]"
8.0015,kind-worker2,True,0,[]
8.0163,kind-worker5,True,2,"[""x04"", ""x08""]"
8.0185,kind-worker2,True,0,[]
8.3203,kind-worker2,False,0,[]
8.3391,kind-worker2,False,1,"[""x01""]"
8.3618,kind-worker2,False,2,"[""x01"", ""x08""]"
8.4071,kind-worker2,False,2,"[""x01"", ""x08""]"
8.5083,kind-worker2,False,2,"[""x01"", ""x08""]"
9.4107,kind-worker4,True,0,[]
9.5028,kind-worker4,True,0,[]
9.6264,kind-worker4,False,0,[]
9.645,kind-worker4,False,1,"[""x05""]"
9.7033,kind-worker4,False,1,"[""x05""]"
9.7133,kind-worker4,False,1,"[""x05""]"
12.0736,kind-worker4,False,2,"[""x05"", ""x09""]"
12.0837,kind-worker4,False,2,"[""x05"", ""x09""]"
13.2309,kind-worker5,True,0,[]
13.3021,kind-worker5,True,0,[]
13.31,kind-worker5,False,0,[]
13.3218,kind-worker5,False,0,[]
13.3631,kind-worker5,False,1,"[""x03""]"
13.3747,kind-worker5,False,1,"[""x03""]"
13.3939,kind-worker5,False,2,"[""x03"", ""x08""]"
13.4034,kind-worker5,False,2,"[""x03"", ""x08""]"
13.4615,kind-worker5,False,3,"[""x01"", ""x03"", ""x08""]"
13.471,kind-worker5,False,3,"[""x01"", ""x03"", ""x08""]"
13.7171,kind-worker2,True,2,"[""x01"", ""x08""]"
13.7314,kind-worker2,True,2,"[""x01"", ""x08""]"
14.0706,kind-worker5,False,4,"[""x01"", ""x03"", ""x06"", ""x08""]"
14.0812,kind-worker5,False,4,"[""x01"", ""x03"", ""x06"", ""x08""]"
14.8034,kind-worker3,True,0,[]
14.9089,kind-worker4,True,2,"[""x05"", ""x09""]"
14.9106,kind-worker,True,0,[]
14.912,kind-worker3,True,0,[]
14.9173,kind-worker3,False,0,[]
15.0209,kind-worker4,True,2,"[""x05"", ""x09""]"
15.0638,kind-worker3,False,1,"[""x02""]"
15.1061,kind-worker,False,0,[]
15.109,kind-worker3,False,1,"[""x02""]"
15.1183,kind-worker,False,0,[]
15.1203,kind-worker3,False,1,"[""x02""]"
