task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
12,eval-conflicts-rho010-r1-012,issuer2,x02,0,"[""d02""]",1,12.0,12.0002,12.0449,0.0002,0.0447,201,True,12.0505,12.0736,26.0712,nan,eval-conflicts-rho010-r1-012,12.0674,0.0225,eval-conflicts-rho010-r1-012-krgr2,12.0747,0.0074,12.0896,0.0149,kind-worker2,0.0894,0,0,0,0,0,0,none,False,nan,nan,,12.9768,24.1084,nan,0.8872,11.1315,12.1081,Succeeded,Complete,False
13,eval-conflicts-rho010-r1-013,issuer8,x08,2,"[""d08""]",1,13.0,13.0003,13.0135,0.0003,0.0131,201,True,13.0184,13.0392,26.917,nan,eval-conflicts-rho010-r1-013,13.0327,0.0192,eval-conflicts-rho010-r1-013-5sn64,13.0388,0.0062,13.054,0.0152,kind-worker3,0.0537,0,0,0,0,0,0,none,False,nan,nan,,13.8768,24.9587,nan,0.8228,11.0819,11.9584,Succeeded,Complete,False
14,eval-conflicts-rho010-r1-014,issuer5,x05,2,"[""d05""]",1,14.0,14.0004,14.0131,0.0004,0.0127,201,True,14.018,14.04,35.8865,nan,eval-conflicts-rho010-r1-014,14.0324,0.0193,eval-conflicts-rho010-r1-014-4wvvr,14.0385,0.006,22.824,8.7855,kind-worker,8.8236,1,0,1,0,0,6,taint,True,14.0449,8.779,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",23.7369,34.9869,nan,0.9129,11.2501,20.9866,Succeeded,Complete,False
15,eval-conflicts-rho010-r1-015,issuer3,x03,2,"[""d03""]",1,15.0,15.0002,15.0097,0.0002,0.0095,201,True,15.0144,15.0342,40.9583,nan,eval-conflicts-rho010-r1-015,15.0299,0.0202,eval-conflicts-rho010-r1-015-nzvvk,15.0368,0.0069,26.6771,11.6402,kind-worker5,11.6769,6,5,6,0,0,6,mixed,True,15.0439,11.6332,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",27.8927,39.0553,nan,1.2156,11.1626,24.0552,Succeeded,Complete,False
16,eval-conflicts-rho010-r1-016,issuer2,x02,0,"[""d02""]",1,16.0,16.0001,16.0545,0.0001,0.0543,201,True,16.0632,16.083,36.8174,nan,eval-conflicts-rho010-r1-016,16.0773,0.0228,eval-conflicts-rho010-r1-016-nbhzz,16.0842,0.0069,22.8435,6.7593,kind-worker,6.8433,1,0,1,0,0,6,taint,True,16.0908,6.7527,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",23.7429,34.9623,nan,0.8994,11.2194,18.9621,Succeeded,Complete,False
17,eval-conflicts-rho010-r1-017,issuer9,x09,0,"[""d09""]",1,17.0,17.0004,17.0073,0.0004,0.0069,201,True,17.0125,17.0355,35.8828,nan,eval-conflicts-rho010-r1-017,17.0291,0.0217,eval-conflicts-rho010-r1-017-4znc4,17.0344,0.0054,22.8468,5.8124,kind-worker,5.8464,1,0,1,0,0,6,taint,True,17.0404,5.8064,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",23.7691,34.9748,nan,0.9223,11.2057,17.9743,Succeeded,Complete,False
18,eval-conflicts-rho010-r1-018,issuer1,x01,0,"[""d01""]",1,18.0,18.0003,18.0213,0.0003,0.0209,201,True,18.0246,18.0467,36.8795,nan,eval-conflicts-rho010-r1-018,18.0397,0.0185,eval-conflicts-rho010-r1-018-5tbwd,18.0466,0.0069,22.8504,4.8038,kind-worker,4.8501,1,0,1,0,0,6,taint,True,18.0534,4.797,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",23.7305,34.9807,nan,0.88,11.2502,16.9803,Succeeded,Complete,False
19,eval-conflicts-rho010-r1-019,issuer10,x10,0,"[""d10""]",1,19.0,19.0004,19.0088,0.0004,0.0084,201,True,19.0126,19.0333,36.8134,nan,eval-conflicts-rho010-r1-019,19.0289,0.0201,eval-conflicts-rho010-r1-019-qc9ml,19.0368,0.008,22.8543,3.8174,kind-worker,3.8539,1,0,1,0,0,6,taint,True,19.0448,3.8095,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",23.7518,34.9926,nan,0.8975,11.2408,15.9922,Succeeded,Complete,False
20,eval-conflicts-rho010-r1-020,issuer7,x07,2,"[""d07""]",1,20.0,20.0003,20.0132,0.0003,0.0129,201,True,20.0171,20.0428,36.885,nan,eval-conflicts-rho010-r1-020,20.0337,0.0206,eval-conflicts-rho010-r1-020-2tl4k,20.0405,0.0067,22.9106,2.8701,kind-worker,2.9103,1,0,1,0,0,6,taint,True,20.0506,2.86,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",23.7578,34.9682,nan,0.8472,11.2104,14.9679,Succeeded,Complete,False
21,eval-conflicts-rho010-r1-021,issuer8,x08,2,"[""d08""]",1,21.0,21.0005,21.0102,0.0005,0.0097,201,True,21.0162,21.0421,38.2633,nan,eval-conflicts-rho010-r1-021,21.035,0.0249,eval-conflicts-rho010-r1-021-npl92,21.0408,0.0058,24.1873,3.1465,kind-worker4,3.1868,4,3,4,0,0,6,mixed,True,21.0496,3.1377,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",25.1999,36.3001,nan,1.0126,11.1002,15.2996,Succeeded,Complete,False
