t_recv,node,sanitizing,lambda_size,lambda
0.0224,kind-control-plane,False,0,[]
0.0266,kind-worker,False,0,[]
0.0278,kind-worker2,False,0,[]
0.0291,kind-worker3,False,0,[]
0.0302,kind-worker4,False,0,[]
0.0316,kind-worker5,False,0,[]
0.108,kind-worker,False,1,"[""x05""]"
0.1171,kind-worker,False,1,"[""x05""]"
1.0932,kind-worker2,False,1,"[""x05""]"
1.0976,kind-worker2,False,1,"[""x05""]"
1.9427,kind-worker2,True,1,"[""x05""]"
1.958,kind-worker2,True,1,"[""x05""]"
2.0663,kind-worker,False,2,"[""x03"", ""x05""]"
2.0816,kind-worker,False,2,"[""x03"", ""x05""]"
3.0669,kind-worker5,False,1,"[""x04""]"
3.0739,kind-worker5,False,1,"[""x04""]"
4.0691,kind-worker5,False,2,"[""x03"", ""x04""]"
4.0791,kind-worker5,False,2,"[""x03"", ""x04""]"
5.5509,kind-worker5,True,2,"[""x03"", ""x04""]"
5.5635,kind-worker5,True,2,"[""x03"", ""x04""]"
8.0669,kind-worker4,False,1,"[""x02""]"
8.0787,kind-worker4,False,1,"[""x02""]"
8.5571,kind-worker,True,2,"[""x03"", ""x05""]"
8.5702,kind-worker,True,2,"[""x03"", ""x05""]"
8.6407,kind-worker4,True,1,"[""x02""]"
8.6539,kind-worker4,True,1,"[""x02""]"
9.0563,kind-worker3,False,1,"[""x09""]"
9.0673,kind-worker3,False,1,"[""x09""]"
10.0867,kind-worker3,False,2,"[""x04"", ""x09""]"
10.0969,kind-worker3,False,2,"[""x04"", ""x09""]"
11.0558,kind-worker3,False,3,"[""x04"", ""x05"", ""x09""]"
11.0658,kind-worker3,False,3,"[""x04"", ""x05"", ""x09""]"
12.0742,kind-worker3,False,4,"[""x01"", ""x04"", ""x05"", ""x09""]"
12.2182,kind-worker3,False,4,"[""x01"", ""x04"", ""x05"", ""x09""]"
13.0705,kind-worker3,False,5,"[""x01"", ""x04"", ""x05"", ""x07"", ""x09""]"
13.081,kind-worker3,False,5,"[""x01"", ""x04"", ""x05"", ""x07"", ""x09""]"
14.0553,kind-worker3,False,6,"[""x01"", ""x03"", ""x04"", ""x05"", ""x07"", ""x09""]"
14.0655,kind-worker3,False,6,"[""x01"", ""x03"", ""x04"", ""x05"", ""x07"", ""x09""]"
15.0676,kind-worker3,False,7,"[""x01"", ""x03"", ""x04"", ""x05"", ""x07"", ""x09"", ""x10""]"
15.0778,kind-worker3,False,7,"[""x01"", ""x03"", ""x04"", ""x05"", ""x07"", ""x09"", ""x10""]"
15.0862,kind-worker3,True,7,"[""x01"", ""x03"", ""x04"", ""x05"", ""x07"", ""x09"", ""x10""]"
15.1012,kind-worker3,True,7,"[""x01"", ""x03"", ""x04"", ""x05"", ""x07"", ""x09"", ""x10""]"
22.2529,kind-worker2,True,0,[]
22.3216,kind-worker2,False,0,[]
22.3339,kind-worker2,False,0,[]
22.349,kind-worker2,False,0,[]
22.4388,kind-worker2,False,1,"[""x01""]"
22.4514,kind-worker2,False,1,"[""x01""]"
22.5305,kind-worker2,False,2,"[""x01"", ""x03""]"
22.5406,kind-worker2,False,2,"[""x01"", ""x03""]"
22.5526,kind-worker2,False,3,"[""x01"", ""x03"", ""x07""]"
22.5629,kind-worker2,False,3,"[""x01"", ""x03"", ""x07""]"
22.5947,kind-worker2,False,4,"[""x01"", ""x03"", ""x05"", ""x07""]"
22.6036,kind-worker2,False,4,"[""x01"", ""x03"", ""x05"", ""x07""]"
22.6156,kind-worker2,False,5,"[""x01"", ""x02"", ""x03"", ""x05"", ""x07""]"
22.6251,kind-worker2,False,5,"[""x01"", ""x02"", ""x03"", ""x05"", ""x07""]"
25.6689,kind-worker5,True,0,[]
25.6811,kind-worker5,True,0,[]
25.7196,kind-worker5,False,0,[]
25.7361,kind-worker5,False,0,[]
25.7672,kind-worker5,False,1,"[""x06""]"
25.78,kind-worker5,False,1,"[""x06""]"
25.8701,kind-worker5,False,2,"[""x06"", ""x08""]"
25.8796,kind-worker5,False,2,"[""x06"", ""x08""]"
26.0827,kind-worker5,False,3,"[""x04"", ""x06"", ""x08""]"
26.0958,kind-worker5,False,3,"[""x04"", ""x06"", ""x08""]"
27.7557,kind-control-plane,False,0,[]
28.0767,kind-worker5,False,4,"[""x04"", ""x06"", ""x08"", ""x09""]"
28.0857,kind-worker5,False,4,"[""x04"", ""x06"", ""x08"", ""x09""]"
28.8154,kind-worker,True,0,[]
28.8319,kind-worker,False,0,[]
28.8396,kind-worker,False,0,[]
28.9208,kind-worker4,True,0,[]
28.9228,kind-worker,False,0,[]
28.9351,kind-worker4,False,0,[]
28.9442,kind-worker4,False,0,[]
29.0163,kind-worker4,False,0,[]
29.059,kind-worker,False,1,"[""x10""]"
29.0702,kind-worker,False,1,"[""x10""]"
30.0679,kind-worker,False,2,"[""x07"", ""x10""]"
30.0794,kind-worker,False,2,"[""x07"", ""x10""]"
31.0811,kind-worker4,False,1,"[""x06""]"
31.0917,kind-worker4,False,1,"[""x06""]"
32.3419,kind-worker2,True,5,"[""x01"", ""x02"", ""x03"", ""x05"", ""x07""]"
32.3561,kind-worker2,True,5,"[""x01"", ""x02"", ""x03"", ""x05"", ""x07""]"
34.072,kind-worker,False,3,"[""x02"", ""x07"", ""x10""]"
34.0821,kind-worker,False,3,"[""x02"", ""x07"", ""x10""]"
35.3147,kind-worker3,True,0,[]
35.3274,kind-worker3,False,0,[]
35.3379,kind-worker3,False,0,[]
35.3486,kind-worker3,False,0,[]
35.7407,kind-worker5,True,4,"[""x04"", ""x06"", ""x08"", ""x09""]"
35.7533,kind-worker5,True,4,"[""x04"", ""x06"", ""x08"", ""x09""]"
37.0706,kind-worker,False,4,"[""x02"", ""x05"", ""x07"", ""x10""]"
37.0842,kind-worker,False,4,"[""x02"", ""x05"", ""x07"", ""x10""]"
38.061,kind-worker3,False,1,"[""x08""]"
38.0706,kind-worker3,False,1,"[""x08""]"
38.934,kind-worker,True,4,"[""x02"", ""x05"", ""x07"", ""x10""]"
38.9466,kind-worker,True,4,"[""x02"", ""x05"", ""x07"", ""x10""]"
39.0817,kind-worker4,False,2,"[""x06"", ""x09""]"
39.2267,kind-worker4,False,2,"[""x06"", ""x09""]"
39.2365,kind-worker4,True,2,"[""x06"", ""x09""]"
39.3134,kind-worker4,True,2,"[""x06"", ""x09""]"
40.0588,kind-worker3,False,2,"[""x08"", ""x10""]"
40.0673,kind-worker3,False,2,"[""x08"", ""x10""]"
42.5156,kind-worker2,True,0,[]
42.5295,kind-worker2,False,0,[]
42.5405,kind-worker2,False,0,[]
42.5645,kind-worker2,False,1,"[""x03""]"
42.6109,kind-worker2,False,1,"[""x03""]"
42.6208,kind-worker2,False,1,"[""x03""]"
44.0606,kind-worker2,False,2,"[""x03"", ""x09""]"
44.07,kind-worker2,False,2,"[""x03"", ""x09""]"
45.3567,kind-worker3,True,2,"[""x08"", ""x10""]"
45.3704,kind-worker3,True,2,"[""x08"", ""x10""]"
45.9141,kind-worker5,True,0,[]
45.9265,kind-worker5,True,0,[]
45.9352,kind-worker5,False,0,[]
45.9475,kind-worker5,False,0,[]
46.0657,kind-worker5,False,1,"[""x05""]"
46.0762,kind-worker5,False,1,"[""x05""]"
47.0743,kind-worker5,False,2,"[""x04"", ""x05""]"
47.0847,kind-worker5,False,2,"[""x04"", ""x05""]"
48.0574,kind-worker5,False,3,"[""x03"", ""x04"", ""x05""]"
48.0675,kind-worker5,False,3,"[""x03"", ""x04"", ""x05""]"
49.0704,kind-worker5,False,4,"[""x03"", ""x04"", ""x05"", ""x09""]"
49.0829,kind-worker5,False,4,"[""x03"", ""x04"", ""x05"", ""x09""]"
49.3376,kind-worker,True,0,[]
49.3507,kind-worker,False,0,[]
49.3586,kind-worker,False,0,[]
49.4129,kind-worker,False,0,[]
50.0679,kind-worker,False,1,"[""x06""]"
50.0779,kind-worker,False,1,"[""x06""]"
