t_recv,kind,type,name,detail
0.0375,Node,ADDED,kind-control-plane,taints=1
0.039,Node,ADDED,kind-worker,taints=0
0.0404,Node,ADDED,kind-worker2,taints=0
0.0419,Node,ADDED,kind-worker3,taints=0
0.0435,Node,ADDED,kind-worker4,taints=0
0.0449,Node,ADDED,kind-worker5,taints=0
0.0581,TaskRequest,ADDED,eval-sanitize-50-r0-000,phase=None job=None
0.064,TaskRequest,MODIFIED,eval-sanitize-50-r0-000,phase=Pending job=None
0.0901,Event,ADDED,eval-image-prepull-6vqhq.18d4b9359d915c0e,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-6vqhq to kind-worker5
0.0994,Event,ADDED,eval-image-prepull-6vqhq.18d4b935c798b32b,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.1003,Event,ADDED,eval-image-prepull-6vqhq.18d4b935ca4b465f,reason=Created count=1 msg=Created container: pause
0.1019,Event,ADDED,eval-image-prepull-6vqhq.18d4b935d57d5192,reason=Started count=1 msg=Started container pause
0.1026,Event,ADDED,eval-image-prepull-6vqhq.18d4b9362b786cf5,reason=Killing count=1 msg=Stopping container pause
0.1035,Event,ADDED,eval-image-prepull-drjsf.18d4b9359d244cac,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-drjsf to kind-worker4
0.104,Event,ADDED,eval-image-prepull-drjsf.18d4b935c79b1f22,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.1046,Event,ADDED,eval-image-prepull-drjsf.18d4b935ca6deb9e,reason=Created count=1 msg=Created container: pause
0.1051,Event,ADDED,eval-image-prepull-drjsf.18d4b935d57e4ef8,reason=Started count=1 msg=Started container pause
0.1062,Job,ADDED,eval-sanitize-50-r0-000,
0.1065,TaskRequest,MODIFIED,eval-sanitize-50-r0-000,phase=Scheduled job=None
0.1072,Event,ADDED,eval-image-prepull-drjsf.18d4b9362b8c30ba,reason=Killing count=1 msg=Stopping container pause
0.1078,Event,ADDED,eval-image-prepull-gj6wc.18d4b9359c6d618a,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-gj6wc to kind-worker
0.1087,Event,ADDED,eval-image-prepull-gj6wc.18d4b935c797edfd,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.11,Event,ADDED,eval-image-prepull-gj6wc.18d4b935ca4a9877,reason=Created count=1 msg=Created container: pause
0.1106,Event,ADDED,eval-image-prepull-gj6wc.18d4b935d55f358a,reason=Started count=1 msg=Started container pause
0.1109,Event,ADDED,eval-image-prepull-gj6wc.18d4b936169f2af9,reason=Killing count=1 msg=Stopping container pause
0.1112,Event,ADDED,eval-image-prepull-wgsnx.18d4b9359cfb0e6c,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-wgsnx to kind-worker2
0.1116,Event,ADDED,eval-image-prepull-wgsnx.18d4b935c78b12f2,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
