task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-sanitize-60-r4-000,issuer5,x05,4,"[""d05""]",4,0.0,0.0036,0.0432,0.0036,0.0396,201,True,0.0494,0.0739,24.0968,nan,eval-sanitize-60-r4-000,0.0683,0.0251,eval-sanitize-60-r4-000-fbjwd,0.0791,0.0109,0.0926,0.0135,kind-worker3,0.089,0,0,0,0,0,0,none,False,nan,nan,,1.0106,22.1758,nan,0.918,21.1652,22.1722,Succeeded,Complete,False
1,eval-sanitize-60-r4-001,issuer2,x02,3,"[""d02""]",4,1.0,1.0005,1.0156,0.0005,0.0151,201,True,1.0222,1.0455,25.0887,nan,eval-sanitize-60-r4-001,1.0393,0.0237,eval-sanitize-60-r4-001-7hhzg,1.0497,0.0104,1.0679,0.0182,kind-worker3,0.0674,0,0,0,0,0,0,none,False,nan,nan,,2.0082,23.1381,nan,0.9403,21.13,22.1376,Succeeded,Complete,False
2,eval-sanitize-60-r4-002,issuer5,x05,4,"[""d05""]",4,2.0,2.0009,2.0129,0.0009,0.012,201,True,2.0173,2.0419,26.2612,nan,eval-sanitize-60-r4-002,2.0338,0.0209,eval-sanitize-60-r4-002-m9q6q,2.0418,0.0079,2.0537,0.012,kind-worker,0.0529,0,0,0,0,0,0,none,False,nan,nan,,3.179,24.3069,nan,1.1252,21.1279,22.306,Succeeded,Complete,False
3,eval-sanitize-60-r4-003,issuer7,x07,5,"[""d07""]",4,3.0,3.001,3.0156,0.001,0.0145,201,True,3.0199,3.0444,27.5434,nan,eval-sanitize-60-r4-003,3.0364,0.0208,eval-sanitize-60-r4-003-kjnth,3.0443,0.0079,3.0638,0.0195,kind-worker5,0.0627,0,0,0,0,0,0,none,False,nan,nan,,4.4574,25.6412,nan,1.3936,21.1838,22.6402,Succeeded,Complete,False
4,eval-sanitize-60-r4-004,issuer7,x07,5,"[""d07""]",4,4.0,4.0007,4.0214,0.0007,0.0207,201,True,4.027,4.0509,28.5447,nan,eval-sanitize-60-r4-004,4.0435,0.0221,eval-sanitize-60-r4-004-vw7hm,4.0507,0.0072,4.0708,0.0201,kind-worker5,0.0701,0,0,0,0,0,0,none,False,nan,nan,,5.4603,26.5871,nan,1.3895,21.1268,22.5864,Succeeded,Complete,False
5,eval-sanitize-60-r4-005,issuer3,x03,6,"[""d03""]",4,5.0,5.0001,5.0111,0.0001,0.011,201,True,5.0159,5.0371,29.2844,nan,eval-sanitize-60-r4-005,5.0303,0.0192,eval-sanitize-60-r4-005-465n4,5.036,0.0057,5.0572,0.0211,kind-worker,0.0571,0,0,0,0,0,0,none,False,nan,nan,,6.1852,27.3678,nan,1.128,21.1826,22.3677,Succeeded,Complete,False
6,eval-sanitize-60-r4-006,issuer7,x07,5,"[""d07""]",4,6.0,6.0002,6.0113,0.0002,0.0111,201,True,6.0156,6.0371,29.8032,nan,eval-sanitize-60-r4-006,6.0332,0.0219,eval-sanitize-60-r4-006-l5p5x,6.0426,0.0094,6.0629,0.0203,kind-worker2,0.0627,0,0,0,0,0,0,none,False,nan,nan,,6.7241,28.0214,nan,0.6612,21.2973,22.0212,Succeeded,Complete,False
7,eval-sanitize-60-r4-007,issuer10,x10,5,"[""d10""]",4,7.0,7.0002,7.0126,0.0002,0.0124,201,True,7.0165,7.0424,31.5569,nan,eval-sanitize-60-r4-007,7.0327,0.0201,eval-sanitize-60-r4-007-247wt,7.0396,0.0069,7.1172,0.0776,kind-worker5,0.117,0,0,0,0,0,0,none,False,nan,nan,,8.4684,29.6274,nan,1.3512,21.159,22.6272,Succeeded,Complete,False
8,eval-sanitize-60-r4-008,issuer10,x10,5,"[""d10""]",4,8.0,8.0003,8.0081,0.0003,0.0078,201,True,8.0123,8.0355,32.5603,nan,eval-sanitize-60-r4-008,8.0282,0.0201,eval-sanitize-60-r4-008-76kcd,8.0354,0.0072,8.0596,0.0242,kind-worker5,0.0593,0,0,0,0,0,0,none,False,nan,nan,,9.4692,30.6469,nan,1.4096,21.1778,22.6466,Succeeded,Complete,False
9,eval-sanitize-60-r4-009,issuer6,x06,2,"[""d06""]",4,9.0,9.0004,9.0128,0.0004,0.0124,201,True,9.0207,9.0498,32.1029,nan,eval-sanitize-60-r4-009,9.0445,0.0318,eval-sanitize-60-r4-009-k54rj,9.0533,0.0087,9.1357,0.0825,kind-worker3,0.1354,0,0,0,0,0,0,none,False,nan,nan,,10.0218,31.1571,nan,0.8861,21.1353,22.1567,Succeeded,Complete,False
