t_recv,node,sanitizing,lambda_size,lambda
0.0196,kind-control-plane,False,0,[]
0.0214,kind-worker,False,0,[]
0.0228,kind-worker2,False,0,[]
0.0241,kind-worker3,False,0,[]
0.0255,kind-worker4,False,0,[]
0.027,kind-worker5,False,0,[]
0.1048,kind-worker3,False,1,"[""x10""]"
0.1165,kind-worker3,False,1,"[""x10""]"
1.1414,kind-worker,False,1,"[""x01""]"
1.1565,kind-worker,False,1,"[""x01""]"
2.1489,kind-worker5,False,1,"[""x01""]"
2.1545,kind-worker5,False,1,"[""x01""]"
3.1574,kind-worker3,False,2,"[""x06"", ""x10""]"
3.1663,kind-worker3,False,2,"[""x06"", ""x10""]"
3.6153,kind-worker4,False,0,[]
4.0682,kind-worker2,False,1,"[""x03""]"
4.0787,kind-worker2,False,1,"[""x03""]"
6.1589,kind-worker4,False,1,"[""x09""]"
6.1722,kind-worker4,False,1,"[""x09""]"
10.2457,kind-worker5,False,2,"[""x01"", ""x02""]"
10.2544,kind-worker5,False,2,"[""x01"", ""x02""]"
11.1242,kind-worker,False,2,"[""x01"", ""x04""]"
11.1347,kind-worker,False,2,"[""x01"", ""x04""]"
15.1186,kind-worker5,False,3,"[""x01"", ""x02"", ""x05""]"
15.1285,kind-worker5,False,3,"[""x01"", ""x02"", ""x05""]"
17.1191,kind-worker2,False,2,"[""x03"", ""x10""]"
17.1293,kind-worker2,False,2,"[""x03"", ""x10""]"
21.2911,kind-worker2,True,2,"[""x03"", ""x10""]"
21.3043,kind-worker2,True,2,"[""x03"", ""x10""]"
22.313,kind-worker,True,2,"[""x01"", ""x04""]"
22.3257,kind-worker5,True,3,"[""x01"", ""x02"", ""x05""]"
22.3269,kind-worker,True,2,"[""x01"", ""x04""]"
22.5172,kind-worker5,True,3,"[""x01"", ""x02"", ""x05""]"
22.7606,kind-worker3,True,2,"[""x06"", ""x10""]"
22.7787,kind-worker3,True,2,"[""x06"", ""x10""]"
23.3,kind-worker4,True,1,"[""x09""]"
23.3142,kind-worker4,True,1,"[""x09""]"
51.4983,kind-worker2,True,0,[]
51.5131,kind-worker2,False,0,[]
51.525,kind-worker2,False,0,[]
51.5361,kind-worker2,False,0,[]
51.5518,kind-worker2,False,1,"[""x07""]"
51.5943,kind-worker2,False,1,"[""x07""]"
51.6159,kind-worker2,False,2,"[""x07"", ""x08""]"
51.6269,kind-worker2,False,2,"[""x07"", ""x08""]"
51.7189,kind-worker2,False,3,"[""x05"", ""x07"", ""x08""]"
51.7323,kind-worker2,False,3,"[""x05"", ""x07"", ""x08""]"
52.8146,kind-worker,True,0,[]
52.8165,kind-worker5,True,0,[]
52.9529,kind-worker,False,0,[]
52.9543,kind-worker5,True,0,[]
52.9588,kind-worker,False,0,[]
52.9944,kind-worker5,False,0,[]
53.006,kind-worker,False,1,"[""x04""]"
53.0183,kind-worker,False,2,"[""x02"", ""x04""]"
53.0298,kind-worker,False,3,"[""x01"", ""x02"", ""x04""]"
53.1635,kind-worker,False,3,"[""x01"", ""x02"", ""x04""]"
53.172,kind-worker5,False,1,"[""x04""]"
53.1946,kind-worker5,False,1,"[""x04""]"
53.198,kind-worker3,True,0,[]
53.2001,kind-worker,False,3,"[""x01"", ""x02"", ""x04""]"
53.2058,kind-worker5,False,1,"[""x04""]"
53.2143,kind-worker3,False,0,[]
53.2207,kind-worker3,False,0,[]
53.2841,kind-worker5,False,2,"[""x04"", ""x10""]"
53.2964,kind-worker3,False,0,[]
53.2988,kind-worker5,False,2,"[""x04"", ""x10""]"
53.3746,kind-worker3,False,1,"[""x01""]"
53.3843,kind-worker3,False,1,"[""x01""]"
53.5181,kind-worker3,False,2,"[""x01"", ""x02""]"
53.6065,kind-worker4,True,0,[]
53.6088,kind-worker3,False,2,"[""x01"", ""x02""]"
53.623,kind-worker4,True,0,[]
53.6971,kind-worker4,False,0,[]
53.7188,kind-worker4,False,0,[]
53.7344,kind-worker5,False,3,"[""x01"", ""x04"", ""x10""]"
53.7484,kind-worker5,False,3,"[""x01"", ""x04"", ""x10""]"
53.9062,kind-worker4,False,1,"[""x09""]"
53.9199,kind-worker4,False,1,"[""x09""]"
56.3012,kind-worker,False,4,"[""x01"", ""x02"", ""x04"", ""x07""]"
56.3113,kind-worker,False,4,"[""x01"", ""x02"", ""x04"", ""x07""]"
58.2352,kind-worker4,False,2,"[""x02"", ""x09""]"
58.2449,kind-worker4,False,2,"[""x02"", ""x09""]"
60.0219,kind-control-plane,False,0,[]
60.0266,kind-worker,False,4,"[""x01"", ""x02"", ""x04"", ""x07""]"
60.033,kind-worker2,False,3,"[""x05"", ""x07"", ""x08""]"
60.0383,kind-worker3,False,2,"[""x01"", ""x02""]"
60.0429,kind-worker4,False,2,"[""x02"", ""x09""]"
60.0486,kind-worker5,False,3,"[""x01"", ""x04"", ""x10""]"
60.2563,kind-worker3,False,3,"[""x01"", ""x02"", ""x05""]"
60.2666,kind-worker3,False,3,"[""x01"", ""x02"", ""x05""]"
64.301,kind-worker5,False,4,"[""x01"", ""x04"", ""x07"", ""x10""]"
64.3137,kind-worker5,False,4,"[""x01"", ""x04"", ""x07"", ""x10""]"
81.5367,kind-worker2,True,3,"[""x05"", ""x07"", ""x08""]"
81.7198,kind-worker2,True,3,"[""x05"", ""x07"", ""x08""]"
83.0958,kind-worker,True,4,"[""x01"", ""x02"", ""x04"", ""x07""]"
83.1114,kind-worker,True,4,"[""x01"", ""x02"", ""x04"", ""x07""]"
83.2147,kind-worker5,True,4,"[""x01"", ""x04"", ""x07"", ""x10""]"
83.3018,kind-worker5,True,4,"[""x01"", ""x04"", ""x07"", ""x10""]"
83.6869,kind-worker3,True,3,"[""x01"", ""x02"", ""x05""]"
83.7016,kind-worker3,True,3,"[""x01"", ""x02"", ""x05""]"
83.9044,kind-worker4,True,2,"[""x02"", ""x09""]"
84.0887,kind-worker4,True,2,"[""x02"", ""x09""]"
111.715,kind-worker2,True,0,[]
111.7456,kind-worker2,False,0,[]
111.7603,kind-worker2,False,0,[]
111.7741,kind-worker2,False,0,[]
111.7942,kind-worker2,False,1,"[""x03""]"
111.8065,kind-worker2,False,1,"[""x03""]"
112.0127,kind-worker2,False,2,"[""x03"", ""x10""]"
112.0226,kind-worker2,False,2,"[""x03"", ""x10""]"
113.3954,kind-worker,True,0,[]
113.4093,kind-worker,False,0,[]
113.4198,kind-worker,False,0,[]
113.4312,kind-worker,False,0,[]
113.5785,kind-worker,False,1,"[""x07""]"
113.5858,kind-worker,False,2,"[""x05"", ""x07""]"
113.5978,kind-worker,False,2,"[""x05"", ""x07""]"
113.611,kind-worker,False,2,"[""x05"", ""x07""]"
113.627,kind-worker,False,3,"[""x05"", ""x07"", ""x08""]"
113.7013,kind-worker5,True,0,[]
113.7028,kind-worker,False,3,"[""x05"", ""x07"", ""x08""]"
113.8789,kind-worker5,False,0,[]
113.8838,kind-worker5,False,0,[]
113.8971,kind-worker5,False,0,[]
113.9187,kind-worker5,False,1,"[""x06""]"
114.0726,kind-worker3,True,0,[]
114.0769,kind-worker5,False,1,"[""x06""]"
114.1016,kind-worker3,False,0,[]
114.1136,kind-worker3,False,0,[]
114.199,kind-worker3,False,0,[]
114.3372,kind-worker4,True,0,[]
114.3457,kind-worker3,False,1,"[""x05""]"
114.3509,kind-worker4,True,0,[]
114.3951,kind-worker4,False,0,[]
114.3976,kind-worker3,False,1,"[""x05""]"
114.4271,kind-worker3,False,2,"[""x05"", ""x06""]"
114.4461,kind-worker4,False,0,[]
114.508,kind-worker3,False,2,"[""x05"", ""x06""]"
114.6011,kind-worker4,False,1,"[""x02""]"
114.6124,kind-worker4,False,1,"[""x02""]"
114.7242,kind-worker4,False,2,"[""x02"", ""x07""]"
114.7348,kind-worker4,False,2,"[""x02"", ""x07""]"
115.2415,kind-worker4,False,3,"[""x02"", ""x04"", ""x07""]"
115.2529,kind-worker4,False,3,"[""x02"", ""x04"", ""x07""]"
117.9133,kind-worker4,False,4,"[""x01"", ""x02"", ""x04"", ""x07""]"
117.9227,kind-worker4,False,4,"[""x01"", ""x02"", ""x04"", ""x07""]"
117.994,kind-worker5,False,2,"[""x06"", ""x10""]"
118.0055,kind-worker5,False,2,"[""x06"", ""x10""]"
120.0519,kind-control-plane,False,0,[]
120.0534,kind-worker,False,3,"[""x05"", ""x07"", ""x08""]"
120.0571,kind-worker2,False,2,"[""x03"", ""x10""]"
120.0604,kind-worker3,False,2,"[""x05"", ""x06""]"
120.0639,kind-worker4,False,4,"[""x01"", ""x02"", ""x04"", ""x07""]"
120.0695,kind-worker5,False,2,"[""x06"", ""x10""]"
121.1196,kind-worker3,False,3,"[""x05"", ""x06"", ""x10""]"
121.135,kind-worker3,False,3,"[""x05"", ""x06"", ""x10""]"
139.4122,kind-control-plane,False,0,[]
