task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-sanitize-3-r3-000,issuer5,x05,7,"[""d05""]",3,0.0,0.0031,0.0459,0.0031,0.0428,201,True,0.0519,0.0747,14.2359,nan,eval-sanitize-3-r3-000,0.0705,0.0246,eval-sanitize-3-r3-000-jfrb4,0.1277,0.0572,0.1412,0.0135,kind-worker2,0.1381,0,0,0,0,0,0,none,False,nan,nan,,1.1726,12.3011,nan,1.0314,11.1285,12.298,Succeeded,Complete,False
1,eval-sanitize-3-r3-001,issuer7,x07,5,"[""d07""]",3,1.0,1.0001,1.0154,0.0001,0.0152,201,True,1.0198,1.044,14.8165,nan,eval-sanitize-3-r3-001,1.0371,0.0218,eval-sanitize-3-r3-001-x9hkn,1.0428,0.0057,1.0641,0.0213,kind-worker,0.064,0,0,0,0,0,0,none,False,nan,nan,,1.7628,12.9002,nan,0.6987,11.1374,11.9001,Succeeded,Complete,False
2,eval-sanitize-3-r3-002,issuer8,x08,4,"[""d08""]",3,2.0,2.0003,2.0127,0.0003,0.0123,201,True,2.018,2.0391,16.3901,nan,eval-sanitize-3-r3-002,2.033,0.0203,eval-sanitize-3-r3-002-7fs7w,2.0419,0.009,2.0515,0.0096,kind-worker4,0.0512,0,0,0,0,0,0,none,False,nan,nan,,3.325,14.4247,nan,1.2735,11.0997,12.4244,Succeeded,Complete,False
3,eval-sanitize-3-r3-003,issuer5,x05,7,"[""d05""]",3,3.0,3.0002,3.0119,0.0002,0.0117,201,True,3.0159,3.0358,17.4415,nan,eval-sanitize-3-r3-003,3.0313,0.0194,eval-sanitize-3-r3-003-vp5rl,3.0392,0.0079,3.0516,0.0123,kind-worker5,0.0513,0,0,0,0,0,0,none,False,nan,nan,,4.3847,15.6421,nan,1.3331,11.2574,12.6419,Succeeded,Complete,False
4,eval-sanitize-3-r3-004,issuer2,x02,5,"[""d02""]",3,4.0,4.0002,4.0131,0.0002,0.0129,201,True,4.0171,4.0412,18.4064,nan,eval-sanitize-3-r3-004,4.0343,0.0212,eval-sanitize-3-r3-004-rz87f,4.041,0.0067,4.0486,0.0076,kind-worker3,0.0484,0,0,0,0,0,0,none,False,nan,nan,,5.3402,16.5606,nan,1.2916,11.2204,12.5603,Succeeded,Complete,False
5,eval-sanitize-3-r3-005,issuer5,x05,7,"[""d05""]",3,5.0,5.0003,5.0076,0.0003,0.0072,201,True,5.0133,5.0357,19.445,nan,eval-sanitize-3-r3-005,5.0286,0.021,eval-sanitize-3-r3-005-zlzdh,5.0356,0.007,5.0504,0.0149,kind-worker5,0.0501,0,0,0,0,0,0,none,False,nan,nan,,6.3889,17.6614,nan,1.3385,11.2725,12.661,Succeeded,Complete,False
6,eval-sanitize-3-r3-006,issuer6,x06,5,"[""d06""]",3,6.0,6.0002,6.0123,0.0002,0.0121,201,True,6.0157,6.035,29.2851,nan,eval-sanitize-3-r3-006,6.0309,0.0186,eval-sanitize-3-r3-006-bjfc4,6.0389,0.0081,14.9433,8.9044,kind-worker2,8.9432,1,0,1,0,0,6,taint,True,6.0455,8.8978,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",16.2098,27.3136,nan,1.2664,11.1038,21.3134,Succeeded,Complete,False
7,eval-sanitize-3-r3-007,issuer1,x01,2,"[""d01""]",3,7.0,7.0003,7.0121,0.0003,0.0118,201,True,7.0168,7.0353,31.0358,nan,eval-sanitize-3-r3-007,7.0301,0.0179,eval-sanitize-3-r3-007-mt7xl,7.0386,0.0086,15.338,8.2994,kind-worker,8.3377,5,4,5,0,0,6,mixed,True,7.0456,8.2925,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",16.8238,28.1996,nan,1.4858,11.3758,21.1993,Succeeded,Complete,False
8,eval-sanitize-3-r3-008,issuer2,x02,5,"[""d02""]",3,8.0,8.0003,8.0071,0.0003,0.0068,201,True,8.0106,8.0346,30.8707,nan,eval-sanitize-3-r3-008,8.0264,0.0193,eval-sanitize-3-r3-008-jtwkx,8.0339,0.0074,15.4116,7.3778,kind-worker,7.4113,5,4,5,0,0,6,mixed,True,8.0401,7.3715,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",16.8124,28.2111,nan,1.4007,11.3988,20.2108,Succeeded,Complete,False
9,eval-sanitize-3-r3-009,issuer8,x08,4,"[""d08""]",3,9.0,9.0002,9.0073,0.0002,0.0071,201,True,9.011,9.0416,28.9341,nan,eval-sanitize-3-r3-009,9.0286,0.0213,eval-sanitize-3-r3-009-97txr,9.0385,0.0099,15.4889,6.4504,kind-worker,6.4887,5,4,5,0,0,6,mixed,True,9.0474,6.4416,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",16.8295,28.1634,nan,1.3405,11.334,19.1632,Succeeded,Complete,False
